variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,combo_s1_j1,low,701,20,20,48,4,0.12,496,0.9737903225806451,483,2083,43.785405664906385,29.87902064330293,13,0,0.010944,0.166667,0.009625,0.1875,53,22,3.5333
map20_r48_s4,combo_s1_j1,low,702,20,20,48,4,0.12,339,0.3392330383480826,115,568,31.56161971830986,18.496478873239436,224,190,0.180736,0.333333,0.793875,0.979167,1402,1386,93.4667
map20_r48_s4,combo_s1_j1,low,703,20,20,48,4,0.12,563,0.8436944937833037,475,2015,42.09727047146402,28.192059553349875,88,54,0.060375,0.229167,0.181958,0.791667,483,443,32.2
map20_r48_s4,combo_s1_j1,low,704,20,20,48,4,0.12,536,0.957089552238806,513,2200,46.82909090909091,32.470454545454544,23,0,0.021,0.1875,0.022389,0.208333,183,131,12.2
map20_r48_s4,combo_s1_j1,low,705,20,20,48,4,0.12,470,0.6829787234042554,321,1415,42.22756183745583,28.796466431095407,149,113,0.132833,0.3125,0.398889,1.0,709,665,47.2667
map20_r48_s4,combo_s1_j1,low,706,20,20,48,4,0.12,521,0.9769673704414588,509,2201,44.73012267151295,31.060881417537484,12,0,0.017889,0.166667,0.024222,0.208333,157,100,10.4667
map20_r48_s4,combo_s1_j1,low,707,20,20,48,4,0.12,338,0.27514792899408286,93,481,30.16839916839917,16.02079002079002,245,209,0.179361,0.229167,0.839847,1.0,1403,1397,93.5333
map20_r48_s4,combo_s1_j1,low,708,20,20,48,4,0.12,356,0.3398876404494382,121,545,29.862385321100916,16.357798165137616,235,195,0.141069,0.1875,0.824972,0.958333,1414,1411,94.2667
map20_r48_s4,combo_s1_j1,low,709,20,20,48,4,0.12,404,0.34405940594059403,139,660,35.24848484848485,20.67878787878788,265,229,0.099111,0.145833,0.783403,0.979167,1383,1383,92.2
map20_r48_s4,combo_s1_j1,low,710,20,20,48,4,0.12,374,0.9625668449197861,360,1699,37.674514420247206,24.218952324897,14,0,0.014264,0.166667,0.011361,0.166667,57,18,3.8
map20_r48_s4,greedy,low,701,20,20,48,4,0.12,496,0.8891129032258065,441,1924,44.07640332640332,30.194386694386694,55,23,0.047569,0.166667,0.240667,0.875,587,559,39.1333
map20_r48_s4,greedy,low,702,20,20,48,4,0.12,339,0.20943952802359883,71,337,27.513353115727003,15.967359050445104,268,234,0.221514,0.270833,0.886806,1.0,1445,1444,96.3333
map20_r48_s4,greedy,low,703,20,20,48,4,0.12,563,0.9360568383658969,527,2343,47.0460947503201,33.11267605633803,36,2,0.022986,0.1875,0.032569,0.270833,275,163,18.3333
map20_r48_s4,greedy,low,704,20,20,48,4,0.12,536,0.9496268656716418,509,2246,48.345057880676755,34.479964381121995,27,2,0.022278,0.166667,0.036819,0.270833,310,233,20.6667
map20_r48_s4,greedy,low,705,20,20,48,4,0.12,470,0.8148936170212766,383,1698,43.59717314487632,29.606595995288576,87,51,0.086903,0.229167,0.329375,0.958333,771,743,51.4
map20_r48_s4,greedy,low,706,20,20,48,4,0.12,521,0.9117082533589251,475,2066,44.142303969022265,30.202323330106488,46,12,0.038611,0.1875,0.14425,0.916667,429,385,28.6
map20_r48_s4,greedy,low,707,20,20,48,4,0.12,338,0.20118343195266272,68,355,28.146478873239438,15.549295774647888,270,234,0.201056,0.229167,0.884458,1.0,1426,1425,95.0667
map20_r48_s4,greedy,low,708,20,20,48,4,0.12,356,0.33707865168539325,120,562,38.3914590747331,24.665480427046262,236,199,0.134125,0.208333,0.793653,1.0,1342,1334,89.4667
map20_r48_s4,greedy,low,709,20,20,48,4,0.12,404,0.6014851485148515,243,1106,42.06509945750452,27.646473779385172,161,131,0.119458,0.208333,0.585653,0.979167,1077,1050,71.8
map20_r48_s4,greedy,low,710,20,20,48,4,0.12,374,0.31283422459893045,117,576,38.78993055555556,26.26388888888889,257,223,0.117056,0.166667,0.767681,1.0,1181,1167,78.7333
