load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
high,900,ComboS1J1,197.0,0.665069,80.6667,25.49669603524229,693.0
high,901,ComboS1J1,534.0,0.030403,15.4,34.9879786286732,27.0
high,902,ComboS1J1,307.0,0.416861,69.8,31.432918395573996,408.0
high,903,ComboS1J1,571.0,0.039861,22.7333,36.38274815778067,37.0
high,904,ComboS1J1,196.0,0.660139,76.9333,26.026968716289105,626.0
high,905,ComboS1J1,515.0,0.053861,29.1333,34.36380009004953,26.0
high,906,ComboS1J1,472.0,0.192972,36.8667,31.822736030828516,156.0
high,907,ComboS1J1,291.0,0.495806,72.0,29.486899563318776,518.0
high,908,ComboS1J1,505.0,0.132375,40.0,37.139643861293344,100.0
high,909,ComboS1J1,510.0,0.050333,29.4667,37.59322033898305,30.0
high,910,ComboS1J1,141.0,0.740542,86.8,26.156968876860624,753.0
high,911,ComboS1J1,324.0,0.395264,61.4667,32.29838142153413,356.0
high,912,ComboS1J1,395.0,0.273167,51.9333,33.95771428571429,229.0
high,913,ComboS1J1,561.0,0.023,11.5333,33.56942148760331,28.0
high,914,ComboS1J1,117.0,0.784931,86.6667,21.874558303886925,848.0
high,915,ComboS1J1,527.0,0.017111,8.6,30.58041958041958,22.0
high,916,ComboS1J1,512.0,0.020792,11.3333,29.07050997782705,29.0
high,917,ComboS1J1,381.0,0.389611,57.4,29.367794486215537,370.0
high,918,ComboS1J1,93.0,0.851653,95.8,20.614736842105263,847.0
high,919,ComboS1J1,505.0,0.067139,21.2667,30.29964539007092,54.0
high,920,ComboS1J1,136.0,0.730028,83.5333,26.93663060278207,747.0
high,921,ComboS1J1,505.0,0.050653,34.3333,33.5919384057971,35.0
high,922,ComboS1J1,504.0,0.014778,9.0,27.041351711871943,26.0
high,923,ComboS1J1,85.0,0.841833,88.5333,26.572115384615383,955.0
high,924,ComboS1J1,264.0,0.542806,71.1333,29.818791946308725,481.0
high,925,ComboS1J1,522.0,0.019069,10.9333,29.342931937172775,21.0
high,926,ComboS1J1,331.0,0.498444,80.7333,35.42424242424242,412.0
high,927,ComboS1J1,423.0,0.256583,49.1333,31.284823284823286,270.0
high,928,ComboS1J1,540.0,0.024514,14.9333,30.93601462522852,21.0
high,929,ComboS1J1,548.0,0.018611,10.8667,33.88678433060697,21.0
high,930,ComboS1J1,147.0,0.768611,90.0667,25.612903225806452,739.0
high,931,ComboS1J1,395.0,0.357472,50.2667,31.59590643274854,346.0
high,932,ComboS1J1,406.0,0.382417,58.1333,28.98149290561382,270.0
high,933,ComboS1J1,205.0,0.664778,86.6667,28.941544885177453,667.0
high,934,ComboS1J1,368.0,0.35675,66.0667,30.536334405144693,273.0
high,935,ComboS1J1,495.0,0.199736,41.8,33.61820781696854,198.0
high,936,ComboS1J1,139.0,0.777486,90.6667,22.074452554744525,794.0
high,937,ComboS1J1,531.0,0.032486,19.0,34.80340425531915,43.0
high,938,ComboS1J1,522.0,0.046542,20.9333,34.96325118893212,47.0
high,939,ComboS1J1,178.0,0.709167,86.2,26.259756097560974,679.0
high,940,ComboS1J1,565.0,0.040361,23.3333,36.554310344827584,33.0
high,941,ComboS1J1,511.0,0.019417,8.2,29.943810359964882,28.0
high,942,ComboS1J1,290.0,0.518444,74.7333,24.845283018867924,444.0
high,943,ComboS1J1,392.0,0.326681,49.4667,32.817867435158504,320.0
high,944,ComboS1J1,485.0,0.045833,26.0,32.125,28.0
high,945,ComboS1J1,335.0,0.432458,62.7333,31.752901023890786,385.0
high,946,ComboS1J1,515.0,0.033972,22.4667,34.06599908966773,29.0
high,947,ComboS1J1,369.0,0.399833,58.7333,30.879872204472843,329.0
high,948,ComboS1J1,513.0,0.060611,23.6,32.81374407582938,24.0
high,949,ComboS1J1,298.0,0.510514,66.2,29.247576435495898,506.0
high,900,Greedy,332.0,0.43525,66.8667,32.902815013404826,424.0
high,901,Greedy,322.0,0.470403,60.0,31.113300492610836,447.0
high,902,Greedy,160.0,0.700153,79.5333,25.50845253576073,698.0
high,903,Greedy,565.0,0.039264,22.3333,35.95571488823281,46.0
high,904,Greedy,168.0,0.687056,80.3333,27.54649827784156,691.0
high,905,Greedy,270.0,0.523792,74.2,32.37816455696203,511.0
high,906,Greedy,408.0,0.304,50.0667,36.28932584269663,283.0
high,907,Greedy,315.0,0.476556,65.2,28.99928724162509,466.0
high,908,Greedy,528.0,0.056722,35.0667,40.39020122484689,52.0
high,909,Greedy,408.0,0.254778,53.8667,36.546573875803,234.0
high,910,Greedy,73.0,0.872083,94.3333,19.364764267990076,885.0
high,911,Greedy,119.0,0.771542,84.2667,22.60472972972973,773.0
high,912,Greedy,493.0,0.093083,48.2667,41.373741994510524,39.0
high,913,Greedy,554.0,0.027931,14.1333,35.83455882352941,41.0
high,914,Greedy,308.0,0.475486,64.7333,32.19256505576208,462.0
high,915,Greedy,424.0,0.250597,47.5333,33.71052631578947,221.0
high,916,Greedy,161.0,0.736153,85.4,25.355527638190956,730.0
high,917,Greedy,547.0,0.057847,30.0,38.1509754028838,43.0
