label,policy,display_name,execution_device,model_device,load,seed,ticks,wall_time_s,wall_time_excluding_initialization_s,simulated_ticks_per_s,initialization_time_ms,assignment_calls,assignment_mean_ms,assignment_median_ms,assignment_p95_ms,assignment_total_ms,completed_orders,completed_tasks,model_assign_calls,model_inference_calls,fallback_greedy_calls,audit_passed
greedy,greedy,Greedy,cpu,,high,721,1500,46.93282023817301,46.93282023817301,31.96057667934408,0,1500,1.4805540659775336,1.1722957715392113,3.4884737804532047,2220.8310989663005,745,3156,,,,True
jsq,jsq,JSQ,cpu,,high,721,1500,57.842404747381806,57.842404747381806,25.93253179135669,0,1500,1.874716117978096,1.3620611280202866,5.117192957550285,2812.074176967144,736,3073,,,,True
hungarian,hungarian,Hungarian,cpu,,high,721,1500,58.68097036331892,58.68097036331892,25.561949482308492,0,1500,4.527540194491546,0.8323332294821739,24.8662328813225,6791.310291737318,672,3112,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,721,1500,152.995836481452,152.96965877246112,9.804188365490901,26.177708990871906,1500,68.268411807095,25.421119760721922,224.61547655984745,102402.61771064252,736,3086,1497,6881,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,721,1500,140.16803748253733,140.1311621358618,10.701441119819314,36.875346675515175,1500,59.74455379508436,20.3498313203454,201.33481998927888,89616.83069262654,736,3086,1497,6881,0,True
greedy,greedy,Greedy,cpu,,high,722,1500,47.791083846241236,47.791083846241236,31.38660769498273,0,1500,1.406653353323539,1.1913841590285301,3.4677220974117513,2109.9800299853086,713,3041,,,,True
jsq,jsq,JSQ,cpu,,high,722,1500,931.6818442204967,931.6818442204967,1.6099916611072247,0,1500,17.157197509581845,15.193681232631207,43.335821153596044,25735.796264372766,184,875,,,,True
hungarian,hungarian,Hungarian,cpu,,high,722,1500,58.81665925774723,58.81665925774723,25.502978559640354,0,1500,8.777928289646903,0.9840931743383408,50.129648949950926,13166.892434470356,600,3006,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,722,1500,455.43103792052716,455.40525236260146,3.2935831665073088,25.78555792570114,1500,60.15407855436206,27.113053016364574,225.66621406003824,90231.11783154309,709,2897,1497,5459,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,722,1500,439.59582257270813,439.56454959884286,3.4122253283057606,31.272973865270615,1500,51.01430881085495,20.077455323189497,189.24998235888765,76521.46321628243,709,2897,1497,5459,0,True
greedy,greedy,Greedy,cpu,,high,723,1500,490.57303454820067,490.57303454820067,3.0576486972657264,0,1500,0.7432836691538492,0.43626874685287476,2.4333546869456764,1114.925503730774,385,1723,,,,True
jsq,jsq,JSQ,cpu,,high,723,1500,120.2599021838978,120.2599021838978,12.472985365531443,0,1500,0.6552966025968393,0.38254912942647934,1.8673346377909184,982.9449038952589,559,2571,,,,True
hungarian,hungarian,Hungarian,cpu,,high,723,1500,45.608266356401145,45.608266356401145,32.888774773379964,0,1500,0.4664218444377184,0.032844021916389465,1.853406662121415,699.6327666565776,557,2640,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,723,1500,676.1569788716733,676.1311695929617,2.2184197558725227,25.809278711676598,1500,100.4456670594712,2.864227630198002,409.72994323819864,150668.50058920681,553,2560,1497,11602,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,723,1500,662.6077883029357,662.5707696247846,2.2637826274903663,37.01867815107107,1500,89.22226587496698,2.914875280112028,365.221411595121,133833.39881245047,553,2560,1497,11602,0,True
greedy,greedy,Greedy,cpu,,high,724,1500,64.3776144804433,64.3776144804433,23.30002458316736,0,1500,1.377243921160698,1.1870311573147774,3.436399484053254,2065.865881741047,717,3020,,,,True
jsq,jsq,JSQ,cpu,,high,724,1500,57.747318926267326,57.747318926267326,25.975231887652193,0,1500,1.6753212083131075,1.4996910467743874,3.3621879760175934,2512.9818124696612,721,3013,,,,True
hungarian,hungarian,Hungarian,cpu,,high,724,1500,85.92016517184675,85.92016517184675,17.458066997425902,0,1500,20.67783766426146,3.1455252319574356,93.90431055799125,31016.75649639219,505,3079,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,724,1500,215.20520146377385,215.1793319573626,6.970091753346861,25.869506411254406,1500,58.75773508350054,25.822211522608995,195.73893714696166,88136.60262525082,720,3001,1497,5717,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,724,1500,204.84530447982252,204.81414780393243,7.322598893877753,31.15667589008808,1500,52.009735114872456,20.37780126556754,174.0952244028449,78014.60267230868,720,3001,1497,5717,0,True
greedy,greedy,Greedy,cpu,,high,725,1500,68.87482497934252,68.87482497934252,21.778639734473252,0,1500,1.4212369459370773,1.1636139824986458,3.4112356137484303,2131.855418905616,712,3050,,,,True
jsq,jsq,JSQ,cpu,,high,725,1500,51.143299628049135,51.143299628049135,29.32935518257678,0,1500,1.421284258986513,1.1473768390715122,3.3116627950221296,2131.9263884797692,715,2991,,,,True
hungarian,hungarian,Hungarian,cpu,,high,725,1500,159.76868950482458,159.76868950482458,9.388572971644136,0,1500,35.91198997013271,19.791276659816504,132.61416675522923,53867.98495519906,420,3014,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,725,1500,173.0905101429671,173.06440554000437,8.66598636032125,26.104602962732315,1500,72.7288115148743,4.638591315597296,249.80754521675402,109093.21727231145,717,2980,1497,7740,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,725,1500,161.63469469174743,161.6034654174,9.280185809492455,31.229274347424507,1500,65.21287829925616,4.738981369882822,227.5032815989107,97819.31744888425,717,2980,1497,7740,0,True
greedy,greedy,Greedy,cpu,,high,726,1500,147.80770034901798,147.80770034901798,10.148321071622476,0,1500,1.2411399794121583,0.9284545667469501,3.30227487720549,1861.7099691182375,627,2709,,,,True
jsq,jsq,JSQ,cpu,,high,726,1500,85.08376412745565,85.08376412745565,17.6296854679936,0,1500,0.968762249375383,0.7263184525072575,2.5139519944787017,1453.1433740630746,678,2945,,,,True
hungarian,hungarian,Hungarian,cpu,,high,726,1500,154.2919183569029,154.2919183569029,9.721831292098205,0,1500,20.1307685294499,9.614037815481424,71.47414996288717,30196.15279417485,495,2957,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,726,1500,160.83443047851324,160.80821209587157,9.326361249498708,26.218382641673088,1500,81.5579553693533,3.4225257113575935,362.5827085226773,122336.93305402994,678,2923,1497,9092,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,726,1500,149.07717282976955,149.04357622843236,10.061902647649767,33.59660133719444,1500,73.48492803362508,3.4883744083344936,324.4715087581425,110227.39205043763,678,2923,1497,9092,0,True
greedy,greedy,Greedy,cpu,,high,727,1500,51.96262917667627,51.96262917667627,28.8668996116402,0,1500,1.4359541063507397,1.2378208339214325,3.4905250184237953,2153.9311595261097,714,3012,,,,True
jsq,jsq,JSQ,cpu,,high,727,1500,680.7611024808139,680.7611024808139,2.2034161389858125,0,1500,16.708160479242604,14.327534474432468,39.93381527252495,25062.240718863904,150,738,,,,True
hungarian,hungarian,Hungarian,cpu,,high,727,1500,511.5553264711052,511.5553264711052,2.932234154118863,0,1500,40.44961644088229,34.091908019036055,94.87245441414416,60674.42466132343,256,2157,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,high,727,1500,131.27287976071239,131.24703424982727,11.426579524531183,25.845510885119438,1500,58.06680622200171,26.44716063514352,190.0575173553079,87100.20933300257,715,2969,1497,5522,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,high,727,1500,129.1233813147992,129.0874707205221,11.61679615826542,35.910594277083874,1500,51.960763263205685,20.22260380908847,173.75729111954564,77941.14489480853,720,2984,1497,5617,0,True
greedy,greedy,Greedy,cpu,,high,728,1500,49.814328441396356,49.814328441396356,30.1118181642188,0,1500,1.4435492704312007,1.1724457144737244,3.5092065110802646,2165.323905646801,764,3107,,,,True
jsq,jsq,JSQ,cpu,,high,728,1500,105.71267015114427,105.71267015114427,14.18940603671587,0,1500,3.7218509099135795,3.2413876615464687,7.957272464409471,5582.776364870369,740,2955,,,,True
hungarian,hungarian,Hungarian,cpu,,high,728,1500,617.3081557434052,617.3081557434052,2.4299047178367443,0,1500,34.978389863545694,27.04536123201251,89.29585283622146,52467.584795318544,308,2095,,,,True
