label,policy,display_name,execution_device,model_device,load,seed,ticks,wall_time_s,wall_time_excluding_initialization_s,simulated_ticks_per_s,initialization_time_ms,assignment_calls,assignment_mean_ms,assignment_median_ms,assignment_p95_ms,assignment_total_ms,completed_orders,completed_tasks,model_assign_calls,model_inference_calls,fallback_greedy_calls,audit_passed
greedy,greedy,Greedy,cpu,,low,721,1500,508.62699925526977,508.62699925526977,2.949115957659141,0,1500,0.6031158169110616,0.42847683653235435,1.7570826224982738,904.6737253665924,521,2343,,,,True
jsq,jsq,JSQ,cpu,,low,721,1500,509.04443241190165,509.04443241190165,2.9466975856957225,0,1500,0.7428432355324427,0.49411971122026443,2.3364008404314514,1114.264853298664,516,2319,,,,True
hungarian,hungarian,Hungarian,cpu,,low,721,1500,1055.3676279289648,1055.3676279289648,1.4213056761496219,0,1500,6.540776189416647,2.291537821292877,23.72329719364643,9811.16428412497,208,865,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,721,1500,276.6348464516923,276.60923190787435,5.422310382224169,25.614543817937374,1500,102.24674426329632,2.631706651300192,539.7926517762244,153370.1163949445,517,2295,1497,12119,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,721,1500,261.4122353056446,261.3762169200927,5.738063477580504,36.01838555186987,1500,92.71532018358509,2.6894398033618927,504.19915644451964,139072.98027537763,517,2295,1497,12119,0,True
greedy,greedy,Greedy,cpu,,low,722,1500,49.24919369444251,49.24919369444251,30.457351430085776,0,1500,0.8837192039936781,0.6401874125003815,2.240139432251453,1325.5788059905171,680,2913,,,,True
jsq,jsq,JSQ,cpu,,low,722,1500,279.41737941186875,279.41737941186875,5.368313177788986,0,1500,13.273776115849614,6.319467909634113,45.457781152799726,19910.66417377442,334,1615,,,,True
hungarian,hungarian,Hungarian,cpu,,low,722,1500,49.02356351073831,49.02356351073831,30.597530913301195,0,1500,0.8106601964682341,0.497693195939064,2.7002857998013483,1215.990294702351,679,2873,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,722,1500,172.09353247098625,172.06781357433647,8.716190425418162,25.71889664977789,1500,77.09695192116003,21.7470726929605,321.87250303104497,115645.42788174003,670,2856,1497,8300,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,722,1500,160.70350086782128,160.67232311796397,9.333959695338255,31.17774985730648,1500,69.23468640819192,16.675978433340788,293.93781111575646,103852.02961228788,670,2856,1497,8300,0,True
greedy,greedy,Greedy,cpu,,low,723,1500,55.31616684515029,55.31616684515029,27.116846404036558,0,1500,0.8441559399167696,0.6544995121657848,2.1691705100238323,1266.2339098751545,653,2832,,,,True
jsq,jsq,JSQ,cpu,,low,723,1500,383.14191310480237,383.14191310480237,3.914998460608769,0,1500,7.240043826401234,1.25204399228096,31.256067380309105,10860.06573960185,447,1949,,,,True
hungarian,hungarian,Hungarian,cpu,,low,723,1500,56.74489842914045,56.74489842914045,26.434094368379355,0,1500,0.6903124538560709,0.37463707849383354,2.2314512636512513,1035.4686807841063,656,2841,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,723,1500,170.40179864596575,170.3740463545546,8.802723984835781,27.752291411161423,1500,86.99542642322679,3.7995241582393646,392.14083859696984,130493.13963484019,656,2816,1497,10050,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,723,1500,159.9638527650386,159.92770908866078,9.377118480656131,36.14367637783289,1500,79.86188605241477,3.7814220413565636,361.46158459596336,119792.82907862216,656,2816,1497,10050,0,True
greedy,greedy,Greedy,cpu,,low,724,1500,55.40175687149167,55.40175687149167,27.074953660393064,0,1500,0.8748759496957064,0.7077222689986229,2.2857014555484056,1312.3139245435596,658,2850,,,,True
jsq,jsq,JSQ,cpu,,low,724,1500,57.00495818722993,57.00495818722993,26.31350057434171,0,1500,1.028442492087682,0.8245431818068027,2.710560942068696,1542.6637381315231,660,2864,,,,True
hungarian,hungarian,Hungarian,cpu,,low,724,1500,46.215641249902546,46.215641249902546,32.45654413597827,0,1500,1.2781957425177097,0.7795169949531555,4.534617578610778,1917.2936137765646,658,2888,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,724,1500,164.62601248826832,164.5993834398687,9.111561273507089,26.62904839962721,1500,79.83079738045733,3.4889676608145237,316.8302684556692,119746.19607068598,658,2828,1497,9034,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,724,1500,155.79304672963917,155.75508792325854,9.628157555728894,37.95880638062954,1500,73.62671893897156,3.55483777821064,295.25558408349747,110440.07840845734,658,2828,1497,9034,0,True
greedy,greedy,Greedy,cpu,,low,725,1500,346.2271482711658,346.2271482711658,4.332415893698772,0,1500,0.7000634601960579,0.548898708075285,1.9569737371057268,1050.095190294087,519,2254,,,,True
jsq,jsq,JSQ,cpu,,low,725,1500,41.1331554884091,41.1331554884091,36.46693238554685,0,1500,0.6979262779156367,0.45019760727882385,1.8384776543825863,1046.889416873455,550,2386,,,,True
hungarian,hungarian,Hungarian,cpu,,low,725,1500,45.16097028926015,45.16097028926015,33.21452108739832,0,1500,0.5478258623431126,0.1038331538438797,1.944807730615139,821.7387935146689,550,2359,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,725,1500,208.84967421833426,208.82391274627298,7.1821993767243315,25.761472061276436,1500,102.5234405354907,2.8304089792072773,541.56697820872,153785.16080323607,549,2368,1497,12317,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,low,725,1500,197.24460211582482,197.20912768226117,7.604770847514391,35.474433563649654,1500,94.48798298090696,2.90217949077487,500.1313548535103,141731.97447136045,549,2368,1497,12317,0,True
greedy,greedy,Greedy,cpu,,low,726,1500,38.76788127142936,38.76788127142936,38.69182299383098,0,1500,0.8235617584238449,0.5953339859843254,2.1381606813520193,1235.3426376357675,654,2793,,,,True
jsq,jsq,JSQ,cpu,,low,726,1500,48.243822656571865,48.243822656571865,31.09206355138749,0,1500,0.8673042903343836,0.5774553865194321,2.3621833417564626,1300.9564355015755,655,2790,,,,True
hungarian,hungarian,Hungarian,cpu,,low,726,1500,247.877964977175,247.877964977175,6.051364832441328,0,1500,25.266501249745488,15.216195955872536,73.89422040432686,37899.75187461823,356,2530,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,low,726,1500,170.05755136813968,170.03167760837823,8.820543327433946,25.873759761452675,1500,81.8353528175503,4.046643618494272,370.22305107675487,122753.02922632545,650,2784,1497,9307,0,True
