load,method,label,device,assignment_mean_ms,assignment_p50_ms,assignment_p95_ms,wall_mean_s,wall_median_s,wall_min_s,wall_max_s,completed_orders_mean,runs,assignment_calls,audit_passed
low,Greedy (CPU),greedy,cpu,0.8305753174548348,0.629120972007513,2.2004027850925914,127.27221315139904,54.56930786278099,38.76788127142936,508.62699925526977,640.9,10,15000,True
low,JSQ (CPU),jsq,cpu,2.8021051075309513,0.7662419229745865,17.54357889294624,149.60816237805412,51.12306682160124,35.62703331466764,509.04443241190165,587.7,10,15000,True
low,Hungarian (CPU),hungarian,cpu,6.357915262815853,0.8031837642192841,38.23321578092871,268.4758345555514,56.92959804320708,45.16097028926015,1055.3676279289648,518.1,10,15000,True
low,Proposed (CPU),proposed_cpu,cpu,86.86328472966949,3.9731482975184917,386.95594845339605,204.11323523204774,175.21225523669273,160.6689388640225,355.3184992093593,642.1,10,15000,True
low,Proposed (GPU),proposed_cuda_0,cuda:0,79.32351850432654,4.0176245383918285,358.4580724593251,192.9044357404113,164.88954537315294,150.04165339004248,343.21153790224344,642.1,10,15000,True
mid,Greedy (CPU),greedy,cpu,1.0216450550903877,0.7772725075483322,2.806741092354059,281.6268021220341,53.949130221270025,42.22848042380065,1346.214202576317,608.5,10,15000,True
mid,JSQ (CPU),jsq,cpu,2.0544352481141686,1.168327871710062,8.257382828742251,288.40816057063637,48.35566460248083,40.49949813634157,1308.1543044615537,613.9,10,15000,True
mid,Hungarian (CPU),hungarian,cpu,9.366797068653007,0.8000340312719345,52.60294694453478,203.45002343580126,76.02259172685444,38.53307889215648,1166.3974639363587,543.1,10,15000,True
mid,Proposed (CPU),proposed_cpu,cpu,74.48807241140554,28.852802235633135,307.8089191112667,384.04434493854643,218.7987380065024,147.73486680723727,1176.468852063641,594.1,10,15000,True
mid,Proposed (GPU),proposed_cuda_0,cuda:0,70.79451015790303,23.02212407812476,297.12165314704083,379.9699973514304,212.27454512985423,138.6983491210267,1171.1647037332878,594.1,10,15000,True
high,Greedy (CPU),greedy,cpu,1.32869347302864,1.0344553738832474,3.4323133993893853,132.2188447500579,62.20918243378401,46.93282023817301,490.57303454820067,667.4,10,15000,True
high,JSQ (CPU),jsq,cpu,4.651477067731321,1.307990401983261,28.960395697504282,220.14474324062468,73.06339967576787,50.17209071666002,931.6818442204967,586.1,10,15000,True
high,Hungarian (CPU),hungarian,cpu,18.146700396823388,1.9509070552885532,80.19935572519896,185.65230202218518,97.24918822804466,45.608266356401145,617.3081557434052,504.9,10,15000,True
high,Proposed (CPU),proposed_cpu,cpu,71.1155662741512,23.59734009951353,276.5711212996392,306.6832587678917,194.14785580337048,131.27287976071239,676.1569788716733,696.6,10,15000,True
high,Proposed (GPU),proposed_cuda_0,cuda:0,64.01146240122617,19.844852853566408,248.24516447260973,325.0776019383222,282.6954843988642,129.1233813147992,662.6077883029357,675.9,10,15000,True
