variant,load,seed,arm,ticks,action_route_encoding,all_idle_candidate_contexts,all_idle_candidates_per_context_mean,all_idle_candidates_scored,assign_calls,assignment_time_ms_mean,avg_excess_delay,avg_excess_delay_label,avg_task_duration,bottleneck_CVaR,completed_order_flow_time_p95,completed_orders,completed_orders_delta_sum,completed_orders_per_congestion_event,completed_orders_per_severe_event,completed_tasks,completion_fraction,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,decision_contexts_total,energy_candidates_per_context,energy_conv_active_contexts,energy_conv_active_rate,energy_conv_contexts,energy_conv_gate_g_mean,energy_conv_modified_decision_rate,energy_conv_modified_decisions,energy_conv_signal_selected_mean,energy_conv_v_state_mean,energy_conv_warmup_contexts,energy_conv_z_base_selected_mean,energy_conv_z_delta_selected_mean,energy_drift_signal,energy_noop_best_action_score_mean,energy_noop_contexts,energy_noop_cost_mean,energy_noop_deferred,energy_noop_rate,energy_noop_score_mean,energy_potential_mean,energy_score_mean,energy_scoring_candidates,energy_scoring_contexts,energy_scoring_mode,energy_service_relief_mean,fallback_greedy_calls,fallback_greedy_ratio,final_backlog_fraction,final_backlog_total,handoff_ratio_max,handoff_ratio_mean,long_risk_schema_version,model_assign_calls,model_inference_calls,model_inference_time_ms_mean,num_agents,online_robot_candidate_scope,open_order_age_p95,open_order_count,order_arrival_count,order_arrival_manifest_schema_version,order_arrival_replayed,pending_order_age_p95,pending_order_count,psi_dispatch_age_mean,psi_dispatch_attention_added,psi_dispatch_backlog_mean,psi_dispatch_changed_positions,psi_dispatch_contexts_seen,psi_dispatch_e_demand_modified,psi_dispatch_encoder_contract_verified,psi_dispatch_eval_calls,psi_dispatch_eval_time_ms_mean,psi_dispatch_hard_gate_added,psi_dispatch_head_loaded,psi_dispatch_j_mean,psi_dispatch_mode,psi_dispatch_no_assign_added,psi_dispatch_proposal_calls,psi_dispatch_reordered_calls,psi_dispatch_replacement_calls,psi_dispatch_replacement_count,psi_dispatch_requested_budget_mean,psi_dispatch_robot_scorer,psi_dispatch_robot_scorer_variant,psi_dispatch_s1_within_context,psi_dispatch_schema_version,psi_dispatch_service_debt_mean,psi_dispatch_service_mean,psi_dispatch_superset_size_mean,psi_dispatch_trace_dropped,psi_dispatch_trace_records,psi_dispatch_traffic_mean,psi_dispatch_unique_stations_mean,risk_guard_fallback,risk_guard_filtered,risk_max_count,risk_max_max,risk_max_mean,risk_max_min,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_p99,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,station_admission_mode,station_capacity_rejections,station_max_committed_load,station_max_occupancy,station_pressure,unified_risk,wait_or_stall,wall_time_s,warmup_defer_calls,wm_label_cost
map20_r48_s4,high,900,Greedy,1500,,,,,,,32.902815013404826,2.9623,47.19168900804289,0.1209,212.35,332,332.0,0.331007,0.35508,1492,0.5918,1003,1.0,0.43525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755793,424.0,0.083333,0.005069,,,,,48,,822.4,229,561,layer5_order_arrival_manifest_v1,False,655.8,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8667,935,0.208333,0.066361,physical_only_legacy,21955,16,7,2.468,1.0,0.0664,562.6,,4.9024
map20_r48_s4,high,900,Hungarian,1500,,,,,,,26.276657060518733,2.499,39.62391930835735,0.1082,156.0,155,155.0,0.11805,0.119876,694,0.276292,1313,1.0,0.753444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.388592,779.0,0.125,0.002208,,,,,48,,1177.5,406,561,layer5_order_arrival_manifest_v1,True,1058.0,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5333,1293,0.25,0.159931,physical_only_legacy,33795,18,7,3.4896,1.0,0.1599,1226.88,,5.2624
map20_r48_s4,high,900,JSQ,1500,,,,,,,34.139799038881605,3.0232,47.9912625600699,0.1272,177.2,537,537.0,1.504202,2.174089,2289,0.957219,357,0.208333,0.038958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044563,25.0,0.104167,0.009722,,,,,48,,115.2,24,561,layer5_order_arrival_manifest_v1,True,45.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,247,0.145833,0.02275,physical_only_legacy,3627,16,7,1.3295,1.0,0.0227,110.58,,4.3263
map20_r48_s4,high,900,PhaseC,1500,canonical_bfs_service_cell_v1,776,8.759,6797,1500,141.3771,33.555701754385964,3.0358,47.52807017543859,0.1303,169.15,540,540.0,2.347826,3.506494,2280,0.962567,230,0.270833,0.028167,776,,,,,,,,,,,,,combo,,,,,,,,,,,off,,0,0.0,0.037433,21.0,0.104167,0.008458,long_risk_6d_quantile_combo_v2,1497,6797,25.0907,48,all_idle,63.0,21,561,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6797,1.052168,0.425506,0.012114,0.408109,0.721677,0.81193,0.907113,15.3333,154,0.1875,0.021403,physical_only_legacy,2688,18,7,1.2603,1.0,0.0214,315.12,3,4.2997
map20_r48_s4,high,900,ComboS1J1,1500,canonical_bfs_service_cell_v1,334,6.8832,2299,1500,118.1172,25.49669603524229,2.417,39.74559471365639,0.157,238.0,197,197.0,0.16281,0.166245,908,0.351159,1210,1.0,0.665069,334,0.0,139,0.4162,334,0.417239,0.012,4,0.70674,11.010073,50,-1.085169,0.154256,combo,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,334,conversion,0.0,0,0.0,1.235294,693.0,0.083333,0.002347,long_risk_6d_quantile_combo_v2,1497,2299,25.1768,48,all_idle,1148.55,364,561,layer5_order_arrival_manifest_v1,True,1006.8,329,0.74131434087011,False,0.8635400375130906,13705,15828,False,True,1281,24.597561743712397,False,True,-0.45162980828300825,j_ascending,False,1497,1079,86,89,2.255177020708083,WorldModelTaskAssigner.select_robots_unmodified,s1_within_context,True,phase_c_psi_dispatch_v1,0.8024271891916609,0.3615382700414313,10.57314629258517,0,0,0.34005649177588676,2.9523809523809526,0,0,2299,1.101386,0.340401,0.012114,0.205292,0.810415,0.874298,0.942971,80.6667,1185,0.208333,0.119625,physical_only_legacy,30961,16,7,3.0761,1.0,0.1196,1459.88,3,5.0232
map20_r48_s4,high,901,Greedy,1500,,,,,,,31.113300492610836,2.9478,45.600281491907104,0.1355,214.75,322,322.0,0.357778,0.370115,1421,0.573975,900,0.979167,0.470403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796791,447.0,0.0625,0.002639,,,,,48,,881.1,239,561,layer5_order_arrival_manifest_v1,False,685.95,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,870,0.145833,0.042819,physical_only_legacy,25191,14,7,2.5569,1.0,0.0428,322.67,,4.9306
map20_r48_s4,high,901,Hungarian,1500,,,,,,,36.291201429209465,3.2014,50.28852166145601,0.1282,155.0,538,538.0,1.427056,1.868056,2239,0.959002,377,0.229167,0.0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040998,23.0,0.083333,0.009417,,,,,48,,92.4,23,561,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1333,288,0.1875,0.024903,physical_only_legacy,3835,17,7,1.4709,1.0,0.0249,109.13,,4.4893
map20_r48_s4,high,901,JSQ,1500,,,,,,,27.33926981300089,2.645,41.3820124666073,0.1425,199.2,259,259.0,0.233544,0.236746,1123,0.461676,1109,0.979167,0.605819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01426,569.0,0.0625,0.002431,,,,,48,,1058.85,302,561,layer5_order_arrival_manifest_v1,True,894.5,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9333,1094,0.145833,0.064903,physical_only_legacy,31154,13,7,3.0019,1.0,0.0649,724.51,,5.0309
map20_r48_s4,high,901,PhaseC,1500,canonical_bfs_service_cell_v1,786,9.3702,7365,1500,151.1258,31.85726756874727,2.9672,45.91051942383239,0.1263,141.2,537,537.0,14.916667,31.588235,2291,0.957219,36,0.166667,0.010486,786,,,,,,,,,,,,,combo,,,,,,,,,,,off,,0,0.0,0.042781,24.0,0.0625,0.004125,long_risk_6d_quantile_combo_v2,1497,7365,24.9516,48,all_idle,85.65,24,561,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7365,1.002955,0.406983,-0.067416,0.399617,0.656937,0.734799,0.882181,2.4,17,0.125,0.012431,physical_only_legacy,1474,16,7,1.1793,1.0,0.0124,289.89,3,4.212
map20_r48_s4,high,901,ComboS1J1,1500,canonical_bfs_service_cell_v1,770,7.7896,5998,1500,135.8597,34.9879786286732,3.1012,49.092609082813894,0.1253,165.35,534,534.0,2.311688,4.377049,2246,0.951872,231,0.1875,0.030403,770,0.0,191,0.2481,770,0.256426,0.0013,1,0.684324,9.122648,50,-1.810797,0.308556,combo,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,770,conversion,0.0,0,0.0,0.048128,27.0,0.104167,0.00625,long_risk_6d_quantile_combo_v2,1497,5998,24.8812,48,all_idle,108.3,27,561,layer5_order_arrival_manifest_v1,True,0.0,0,0.042100244589608954,False,0.24576806931963613,42,863,False,True,587,25.005584341526234,False,True,0.08072749624525107,j_ascending,False,1497,16,2,2,7.151636606546426,WorldModelTaskAssigner.select_robots_unmodified,s1_within_context,True,phase_c_psi_dispatch_v1,0.14393415695462275,0.2404972088144421,0.5764863059452238,0,0,0.20882609758530404,1.06984667802385,0,0,5998,1.037212,0.440844,-0.067416,0.435995,0.745031,0.835577,0.929357,15.4,122,0.125,0.016833,physical_only_legacy,3046,17,7,1.3914,1.0,0.0168,274.59,3,4.3885
