variant,load,seed,arm,ticks,assignment_time_ms_mean,avg_excess_delay,avg_task_duration,completed_orders,completed_tasks,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,open_order_count,pending_order_count,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,wall_time_s
map20_r48_s6,low,721,greedy,1500,,25.751600512163893,39.491677336747756,521,2343,453,0.4375,0.074764,26,2,30.2,417,0.166667,0.016194,472.19
map20_r48_s6,low,722,greedy,1500,,22.740130449708204,35.98729831788534,680,2913,36,0.104167,0.004111,38,1,2.4,22,0.145833,0.012944,51.99
map20_r48_s6,low,723,greedy,1500,,22.69774011299435,36.06002824858757,653,2832,18,0.104167,0.005431,30,2,1.2,1,0.125,0.015486,58.12
map20_r48_s6,low,724,greedy,1500,,23.938947368421054,37.28421052631579,658,2850,77,0.229167,0.011861,27,2,5.1333,72,0.1875,0.015319,58.0
map20_r48_s6,low,725,greedy,1500,,21.13664596273292,34.358473824312334,519,2254,641,0.875,0.235889,41,8,42.7333,631,0.208333,0.067181,331.2
map20_r48_s6,low,726,greedy,1500,,22.62513426423201,36.32545649838883,654,2793,5,0.083333,0.004528,24,2,0.3333,0,0.125,0.015694,40.25
map20_r48_s6,low,727,greedy,1500,,23.87787857641312,37.02233077459874,668,2866,34,0.125,0.006194,37,2,2.2667,21,0.145833,0.015431,54.94
map20_r48_s6,low,728,greedy,1500,,21.848214285714285,35.474244505494504,692,2912,17,0.104167,0.010833,37,1,1.1333,1,0.125,0.021667,74.43
map20_r48_s6,low,729,greedy,1500,,22.522960932145306,35.86154900616861,693,2918,13,0.208333,0.005208,35,1,0.8667,12,0.125,0.014472,41.25
map20_r48_s6,low,730,greedy,1500,,24.097251585623678,37.656095842142356,671,2838,61,0.166667,0.010056,32,2,4.0667,56,0.145833,0.015917,55.44
map20_r48_s6,mid,721,greedy,1500,,16.940828402366865,29.91715976331361,156,845,1436,0.979167,0.701125,226,196,95.7333,1429,0.291667,0.197639,1188.46
map20_r48_s6,mid,722,greedy,1500,,23.712685337726523,37.24678747940692,701,3035,33,0.125,0.007639,36,3,2.2,26,0.145833,0.019528,60.69
map20_r48_s6,mid,723,greedy,1500,,21.566831683168317,34.852722772277225,174,808,1335,1.0,0.725208,252,223,89.0,1327,0.333333,0.243653,940.91
map20_r48_s6,mid,724,greedy,1500,,24.07105089226702,37.80436219431593,713,3026,63,0.166667,0.009639,40,3,4.2,51,0.145833,0.016792,59.01
map20_r48_s6,mid,725,greedy,1500,,24.16050616050616,38.03363303363303,713,3003,71,0.166667,0.008625,35,4,4.7333,63,0.125,0.016153,53.27
map20_r48_s6,mid,726,greedy,1500,,24.595284872298624,38.2773411918795,726,3054,108,0.125,0.012181,35,4,7.2,68,0.145833,0.015694,47.67
map20_r48_s6,mid,727,greedy,1500,,24.431894807821983,37.6385704652731,704,2966,51,0.166667,0.011083,43,4,3.4,42,0.125,0.016181,57.48
map20_r48_s6,mid,728,greedy,1500,,22.943352215928023,36.37387537487504,726,3001,33,0.125,0.0045,35,4,2.2,6,0.104167,0.012389,43.16
map20_r48_s6,mid,729,greedy,1500,,23.379837398373983,36.57658536585366,751,3075,48,0.125,0.008444,33,4,3.2,13,0.125,0.015667,55.69
map20_r48_s6,mid,730,greedy,1500,,24.03127057274523,37.67939433838051,721,3038,33,0.104167,0.005569,42,4,2.2,4,0.125,0.015111,45.91
map20_r48_s6,high,721,greedy,1500,,23.20785804816223,36.96166032953105,745,3156,15,0.104167,0.004708,39,6,1.0,4,0.104167,0.015986,48.58
map20_r48_s6,high,722,greedy,1500,,25.08681354817494,38.88589279842157,713,3041,30,0.104167,0.006431,35,6,2.0,8,0.145833,0.016125,50.03
map20_r48_s6,high,723,greedy,1500,,23.03192106790482,36.66105629715612,385,1723,1070,0.9375,0.462083,194,163,71.3333,1067,0.166667,0.061847,463.75
map20_r48_s6,high,724,greedy,1500,,25.270529801324503,39.09039735099338,717,3020,106,0.208333,0.014208,45,6,7.0667,93,0.125,0.018681,65.34
map20_r48_s6,high,725,greedy,1500,,24.52983606557377,38.0255737704918,712,3050,125,0.166667,0.014222,37,6,8.3333,55,0.166667,0.020083,70.18
map20_r48_s6,high,726,greedy,1500,,23.832410483573273,37.773348098929496,627,2709,411,0.875,0.138722,67,39,27.4,379,0.166667,0.031778,143.72
map20_r48_s6,high,727,greedy,1500,,26.564741035856574,40.20019920318725,714,3012,95,0.166667,0.012917,43,7,6.3333,49,0.145833,0.019153,52.96
map20_r48_s6,high,728,greedy,1500,,23.88220148052784,37.79594464113293,764,3107,11,0.104167,0.003736,39,6,0.7333,1,0.125,0.013472,52.81
