load,seed,policy,lock_onset_tick,lock_onset_tick_share_0_9,collapse_tick,lead_time,collapse_detected,paper_collapsed,completed_orders,deadlock_ratio_mean
high,900,ComboS1J1,140.0,390.0,640.0,500.0,True,True,197.0,0.665069
high,901,ComboS1J1,140.0,,,,False,False,534.0,0.030403
high,902,ComboS1J1,330.0,350.0,1010.0,680.0,True,False,307.0,0.416861
high,903,ComboS1J1,330.0,1060.0,,,False,False,571.0,0.039861
high,904,ComboS1J1,390.0,400.0,700.0,310.0,True,True,196.0,0.660139
high,905,ComboS1J1,220.0,310.0,,,False,False,515.0,0.053861
high,906,ComboS1J1,240.0,970.0,1360.0,1120.0,True,False,472.0,0.192972
high,907,ComboS1J1,680.0,760.0,1000.0,320.0,True,True,291.0,0.495806
high,908,ComboS1J1,80.0,1220.0,,,False,False,505.0,0.132375
high,909,ComboS1J1,270.0,780.0,,,False,False,510.0,0.050333
high,910,ComboS1J1,170.0,270.0,580.0,410.0,True,True,141.0,0.740542
high,911,ComboS1J1,250.0,330.0,1060.0,810.0,True,False,324.0,0.395264
high,912,ComboS1J1,170.0,810.0,1350.0,1180.0,True,False,395.0,0.273167
high,913,ComboS1J1,250.0,,,,False,False,561.0,0.023
high,914,ComboS1J1,160.0,300.0,500.0,340.0,True,True,117.0,0.784931
high,915,ComboS1J1,270.0,,,,False,False,527.0,0.017111
high,916,ComboS1J1,190.0,220.0,,,False,False,512.0,0.020792
high,917,ComboS1J1,100.0,760.0,1250.0,1150.0,True,False,381.0,0.389611
high,918,ComboS1J1,140.0,150.0,510.0,370.0,True,True,93.0,0.851653
high,919,ComboS1J1,800.0,1240.0,,,False,False,505.0,0.067139
high,920,ComboS1J1,240.0,440.0,580.0,340.0,True,True,136.0,0.730028
high,921,ComboS1J1,370.0,670.0,,,False,False,505.0,0.050653
high,922,ComboS1J1,160.0,,,,False,False,504.0,0.014778
high,923,ComboS1J1,,,560.0,,True,True,85.0,0.841833
high,924,ComboS1J1,290.0,300.0,860.0,570.0,True,True,264.0,0.542806
high,925,ComboS1J1,550.0,,,,False,False,522.0,0.019069
high,926,ComboS1J1,90.0,170.0,990.0,900.0,True,False,331.0,0.498444
high,927,ComboS1J1,150.0,710.0,1280.0,1130.0,True,False,423.0,0.256583
high,928,ComboS1J1,350.0,670.0,,,False,False,540.0,0.024514
high,929,ComboS1J1,780.0,,,,False,False,548.0,0.018611
high,930,ComboS1J1,250.0,260.0,730.0,480.0,True,True,147.0,0.768611
high,931,ComboS1J1,330.0,900.0,1140.0,810.0,True,False,395.0,0.357472
high,932,ComboS1J1,570.0,710.0,1460.0,890.0,True,False,406.0,0.382417
high,933,ComboS1J1,100.0,290.0,740.0,640.0,True,True,205.0,0.664778
high,934,ComboS1J1,120.0,320.0,1210.0,1090.0,True,False,368.0,0.35675
high,935,ComboS1J1,170.0,930.0,,,False,False,495.0,0.199736
high,936,ComboS1J1,80.0,160.0,540.0,460.0,True,True,139.0,0.777486
high,937,ComboS1J1,640.0,1350.0,,,False,False,531.0,0.032486
high,938,ComboS1J1,270.0,320.0,,,False,False,522.0,0.046542
