map_size,robot_density,load,arm,completed_orders_mean,throughput_winner,four_metric_pareto_member
20,0.12,low,greedy,295.4,False,False
20,0.12,low,hungarian,403.4,True,True
20,0.12,low,jsq,320.7,False,True
20,0.12,low,phasec,370.8,False,False
20,0.12,low,combo_s1_j1,312.9,False,True
20,0.12,mid,greedy,373.5,False,False
20,0.12,mid,hungarian,389.3,True,True
20,0.12,mid,jsq,358.5,False,True
20,0.12,mid,phasec,376.5,False,True
20,0.12,mid,combo_s1_j1,286.0,False,True
20,0.12,high,greedy,369.5,False,False
20,0.12,high,hungarian,309.2,False,False
20,0.12,high,jsq,400.2,True,True
20,0.12,high,phasec,379.0,False,False
20,0.12,high,combo_s1_j1,386.3,False,True
20,0.15,low,greedy,322.4,False,False
20,0.15,low,hungarian,349.2,False,False
20,0.15,low,jsq,345.8,False,False
20,0.15,low,phasec,340.7,False,True
20,0.15,low,combo_s1_j1,387.7,True,True
20,0.15,mid,greedy,351.2,False,True
20,0.15,mid,hungarian,364.6,False,True
20,0.15,mid,jsq,384.7,True,True
20,0.15,mid,phasec,310.2,False,True
20,0.15,mid,combo_s1_j1,353.4,False,True
20,0.15,high,greedy,345.2,False,True
20,0.15,high,hungarian,372.2,False,False
20,0.15,high,jsq,324.0,False,True
20,0.15,high,phasec,396.0,True,True
20,0.15,high,combo_s1_j1,369.0,False,True
20,0.18,low,greedy,310.5,False,False
20,0.18,low,hungarian,314.2,False,False
20,0.18,low,jsq,311.8,False,False
20,0.18,low,phasec,347.1,True,True
20,0.18,low,combo_s1_j1,313.8,False,True
20,0.18,mid,greedy,337.9,False,False
20,0.18,mid,hungarian,327.2,False,False
20,0.18,mid,jsq,343.0,True,True
20,0.18,mid,phasec,335.3,False,False
20,0.18,mid,combo_s1_j1,316.7,False,False
20,0.18,high,greedy,327.9,False,False
20,0.18,high,hungarian,330.0,False,False
20,0.18,high,jsq,280.5,False,False
20,0.18,high,phasec,325.0,False,False
20,0.18,high,combo_s1_j1,332.7,True,True
30,0.12,low,greedy,307.6,False,False
30,0.12,low,hungarian,315.5,False,False
30,0.12,low,jsq,307.3,False,False
30,0.12,low,phasec,299.4,False,False
30,0.12,low,combo_s1_j1,356.9,True,True
30,0.12,mid,greedy,320.7,False,False
30,0.12,mid,hungarian,279.1,False,True
30,0.12,mid,jsq,327.3,False,False
30,0.12,mid,phasec,334.0,False,True
30,0.12,mid,combo_s1_j1,370.9,True,True
30,0.12,high,greedy,273.8,False,False
30,0.12,high,hungarian,236.0,False,False
30,0.12,high,jsq,302.5,False,True
30,0.12,high,phasec,333.5,True,True
30,0.12,high,combo_s1_j1,292.1,False,True
30,0.15,low,greedy,274.6,False,False
30,0.15,low,hungarian,309.1,False,False
30,0.15,low,jsq,276.2,False,False
30,0.15,low,phasec,306.7,False,True
30,0.15,low,combo_s1_j1,320.9,True,True
30,0.15,mid,greedy,297.1,False,False
30,0.15,mid,hungarian,288.0,False,False
30,0.15,mid,jsq,284.2,False,False
30,0.15,mid,phasec,261.5,False,True
30,0.15,mid,combo_s1_j1,331.6,True,True
30,0.15,high,greedy,346.3,True,True
30,0.15,high,hungarian,254.3,False,False
30,0.15,high,jsq,327.1,False,False
30,0.15,high,phasec,333.5,False,True
30,0.15,high,combo_s1_j1,308.5,False,False
30,0.18,low,greedy,247.2,False,False
30,0.18,low,hungarian,248.5,False,False
30,0.18,low,jsq,247.2,False,False
30,0.18,low,phasec,302.3,True,True
30,0.18,low,combo_s1_j1,264.3,False,True
30,0.18,mid,greedy,252.0,False,False
30,0.18,mid,hungarian,283.4,False,False
30,0.18,mid,jsq,253.7,False,False
