load,proposed,baseline,baseline_paper_name,metric,direction,paired_seeds,arm_minus_baseline_mean,ci95_low,ci95_high,wins,losses,ties
low,ComboS1J1,JSQ,JSQ,completed_orders,higher,50,29.72,-10.3,68.24,27,18,5
low,ComboS1J1,JSQ,JSQ,completed_tasks,higher,50,123.88,-44.02,289.72,31,19,0
low,ComboS1J1,JSQ,JSQ,avg_task_duration,lower,50,0.067619,-1.057564,1.141742,23,27,0
low,ComboS1J1,JSQ,JSQ,avg_excess_delay,lower,50,0.084643,-1.027151,1.150842,22,28,0
low,ComboS1J1,JSQ,JSQ,open_order_count,lower,50,-29.72,-68.24,10.3,27,18,5
low,ComboS1J1,JSQ,JSQ,pending_order_count,lower,50,-25.14,-61.78,12.52,27,12,11
low,ComboS1J1,JSQ,JSQ,congestion_events,lower,50,-178.16,-342.3,-12.68,35,15,0
low,ComboS1J1,JSQ,JSQ,severe_events,lower,50,-178.52,-348.06,-7.28,36,14,0
low,ComboS1J1,JSQ,JSQ,stall_ratio_mean,lower,50,-0.002689,-0.019709,0.014685,28,22,0
low,ComboS1J1,JSQ,JSQ,deadlock_ratio_mean,lower,50,-0.091087,-0.190693,0.011498,35,15,0
low,ComboS1J1,JSQ,JSQ,risk_rate_per_100,lower,50,-11.877334,-22.820006,-0.845334,35,15,0
low,ComboS1J1,JSQ,JSQ,completion_fraction,higher,50,0.066127,-0.02183,0.150563,27,18,5
low,ComboS1J1,JSQ,JSQ,final_backlog_total,lower,50,-54.86,-130.04,22.86,27,19,4
low,ComboS1J1,JSQ,JSQ,final_backlog_fraction,lower,50,-0.122198,-0.286291,0.047642,27,19,4
low,ComboS1J1,JSQ,JSQ,completed_orders_per_congestion_event,higher,50,1.638114,0.769389,2.562665,35,15,0
low,ComboS1J1,JSQ,JSQ,completed_orders_per_severe_event,higher,50,3.346505,1.008722,6.304446,36,14,0
low,ComboS1J1,PhaseC,WM-Base,completed_orders,higher,50,35.42,-2.12,75.02,31,16,3
low,ComboS1J1,PhaseC,WM-Base,completed_tasks,higher,50,153.64,-13.86,326.9,31,19,0
low,ComboS1J1,PhaseC,WM-Base,avg_task_duration,lower,50,0.26025,-0.744267,1.340522,27,23,0
low,ComboS1J1,PhaseC,WM-Base,avg_excess_delay,lower,50,0.289739,-0.70114,1.347008,26,24,0
low,ComboS1J1,PhaseC,WM-Base,open_order_count,lower,50,-35.42,-75.02,2.12,31,16,3
low,ComboS1J1,PhaseC,WM-Base,pending_order_count,lower,50,-32.36,-70.04,3.42,22,12,16
low,ComboS1J1,PhaseC,WM-Base,congestion_events,lower,50,-126.62,-268.04,13.54,31,18,1
low,ComboS1J1,PhaseC,WM-Base,severe_events,lower,50,-125.8,-274.78,22.08,30,19,1
low,ComboS1J1,PhaseC,WM-Base,stall_ratio_mean,lower,50,-0.008469,-0.026064,0.009326,28,22,0
low,ComboS1J1,PhaseC,WM-Base,deadlock_ratio_mean,lower,50,-0.074557,-0.16957,0.020448,32,18,0
low,ComboS1J1,PhaseC,WM-Base,risk_rate_per_100,lower,50,-8.441334,-17.869334,0.902674,31,18,1
low,ComboS1J1,PhaseC,WM-Base,completion_fraction,higher,50,0.06629,-0.015106,0.149738,31,16,3
low,ComboS1J1,PhaseC,WM-Base,final_backlog_total,lower,50,-67.78,-144.96,5.38,30,17,3
low,ComboS1J1,PhaseC,WM-Base,final_backlog_fraction,lower,50,-0.126637,-0.287948,0.030695,30,17,3
low,ComboS1J1,PhaseC,WM-Base,completed_orders_per_congestion_event,higher,50,-0.719542,-4.535247,1.622419,31,18,1
low,ComboS1J1,PhaseC,WM-Base,completed_orders_per_severe_event,higher,50,-4.330873,-17.309213,3.144234,32,18,0
mid,ComboS1J1,JSQ,JSQ,completed_orders,higher,50,24.04,-28.52,76.58,26,24,0
mid,ComboS1J1,JSQ,JSQ,completed_tasks,higher,50,99.3,-128.08,326.72,25,25,0
mid,ComboS1J1,JSQ,JSQ,avg_task_duration,lower,50,-0.079703,-1.214304,1.033292,29,21,0
mid,ComboS1J1,JSQ,JSQ,avg_excess_delay,lower,50,-0.099804,-1.273986,1.053419,28,22,0
mid,ComboS1J1,JSQ,JSQ,open_order_count,lower,50,-24.04,-76.58,28.52,26,24,0
mid,ComboS1J1,JSQ,JSQ,pending_order_count,lower,50,-22.44,-72.84,27.9,25,21,4
mid,ComboS1J1,JSQ,JSQ,congestion_events,lower,50,-115.04,-303.58,75.52,27,23,0
mid,ComboS1J1,JSQ,JSQ,severe_events,lower,50,-125.54,-322.3,74.3,26,24,0
mid,ComboS1J1,JSQ,JSQ,stall_ratio_mean,lower,50,-0.006521,-0.031554,0.018358,26,24,0
mid,ComboS1J1,JSQ,JSQ,deadlock_ratio_mean,lower,50,-0.058718,-0.179591,0.063836,26,24,0
mid,ComboS1J1,JSQ,JSQ,risk_rate_per_100,lower,50,-7.669338,-20.23868,5.034668,27,23,0
mid,ComboS1J1,JSQ,JSQ,completion_fraction,higher,50,0.046138,-0.061333,0.151628,26,24,0
mid,ComboS1J1,JSQ,JSQ,final_backlog_total,lower,50,-46.48,-149.46,56.44,25,24,1
mid,ComboS1J1,JSQ,JSQ,final_backlog_fraction,lower,50,-0.088984,-0.295162,0.119668,25,24,1
mid,ComboS1J1,JSQ,JSQ,completed_orders_per_congestion_event,higher,50,0.790204,0.00099,1.730195,27,23,0
mid,ComboS1J1,JSQ,JSQ,completed_orders_per_severe_event,higher,50,2.03253,0.153448,4.964841,27,23,0
mid,ComboS1J1,PhaseC,WM-Base,completed_orders,higher,50,4.66,-43.68,53.56,25,24,1
mid,ComboS1J1,PhaseC,WM-Base,completed_tasks,higher,50,44.42,-164.94,255.56,26,24,0
mid,ComboS1J1,PhaseC,WM-Base,avg_task_duration,lower,50,-0.367628,-1.547706,0.87659,26,24,0
mid,ComboS1J1,PhaseC,WM-Base,avg_excess_delay,lower,50,-0.368162,-1.550988,0.875962,27,23,0
mid,ComboS1J1,PhaseC,WM-Base,open_order_count,lower,50,-4.66,-53.56,43.68,25,24,1
mid,ComboS1J1,PhaseC,WM-Base,pending_order_count,lower,50,-4.28,-50.3,41.6,21,23,6
mid,ComboS1J1,PhaseC,WM-Base,congestion_events,lower,50,29.26,-135.94,198.36,22,28,0
mid,ComboS1J1,PhaseC,WM-Base,severe_events,lower,50,24.74,-152.88,204.18,20,30,0
mid,ComboS1J1,PhaseC,WM-Base,stall_ratio_mean,lower,50,0.007511,-0.015965,0.031056,26,24,0
mid,ComboS1J1,PhaseC,WM-Base,deadlock_ratio_mean,lower,50,-0.000539,-0.112784,0.112525,24,26,0
mid,ComboS1J1,PhaseC,WM-Base,risk_rate_per_100,lower,50,1.950666,-9.062666,13.224,22,28,0
mid,ComboS1J1,PhaseC,WM-Base,completion_fraction,higher,50,0.003647,-0.095992,0.102606,25,24,1
mid,ComboS1J1,PhaseC,WM-Base,final_backlog_total,lower,50,-8.94,-103.94,85.28,24,25,1
mid,ComboS1J1,PhaseC,WM-Base,final_backlog_fraction,lower,50,-0.007032,-0.198418,0.185472,24,25,1
mid,ComboS1J1,PhaseC,WM-Base,completed_orders_per_congestion_event,higher,50,0.07244,-0.614774,0.801753,23,27,0
mid,ComboS1J1,PhaseC,WM-Base,completed_orders_per_severe_event,higher,50,0.390296,-1.505865,3.060499,21,29,0
high,ComboS1J1,JSQ,JSQ,completed_orders,higher,50,15.68,-28.62,58.62,27,22,1
high,ComboS1J1,JSQ,JSQ,completed_tasks,higher,50,54.96,-126.72,233.42,27,23,0
high,ComboS1J1,JSQ,JSQ,avg_task_duration,lower,50,0.618058,-0.666357,1.946355,23,27,0
high,ComboS1J1,JSQ,JSQ,avg_excess_delay,lower,50,0.599577,-0.709695,1.948828,24,26,0
high,ComboS1J1,JSQ,JSQ,open_order_count,lower,50,-15.68,-58.62,28.62,27,22,1
high,ComboS1J1,JSQ,JSQ,pending_order_count,lower,50,-15.5,-57.52,28.04,25,20,5
high,ComboS1J1,JSQ,JSQ,congestion_events,lower,50,-57.94,-180.92,67.9,27,23,0
high,ComboS1J1,JSQ,JSQ,severe_events,lower,50,-65.0,-196.24,68.42,27,23,0
high,ComboS1J1,JSQ,JSQ,stall_ratio_mean,lower,50,-0.000865,-0.016959,0.015669,26,24,0
high,ComboS1J1,JSQ,JSQ,deadlock_ratio_mean,lower,50,-0.032115,-0.115229,0.05327,27,23,0
high,ComboS1J1,JSQ,JSQ,risk_rate_per_100,lower,50,-3.862672,-12.061348,4.526668,27,23,0
high,ComboS1J1,JSQ,JSQ,completion_fraction,higher,50,0.027439,-0.053791,0.105994,27,22,1
high,ComboS1J1,JSQ,JSQ,final_backlog_total,lower,50,-31.18,-116.0,56.98,27,21,2
high,ComboS1J1,JSQ,JSQ,final_backlog_fraction,lower,50,-0.054612,-0.209719,0.106538,27,21,2
high,ComboS1J1,JSQ,JSQ,completed_orders_per_congestion_event,higher,50,-0.091828,-0.751859,0.437903,27,23,0
high,ComboS1J1,JSQ,JSQ,completed_orders_per_severe_event,higher,50,-0.219613,-1.943933,1.033329,27,23,0
high,ComboS1J1,PhaseC,WM-Base,completed_orders,higher,50,31.14,-17.34,79.34,31,19,0
high,ComboS1J1,PhaseC,WM-Base,completed_tasks,higher,50,142.0,-61.72,343.76,32,18,0
high,ComboS1J1,PhaseC,WM-Base,avg_task_duration,lower,50,0.884737,-0.642695,2.359689,19,31,0
high,ComboS1J1,PhaseC,WM-Base,avg_excess_delay,lower,50,0.858024,-0.633427,2.307577,20,30,0
high,ComboS1J1,PhaseC,WM-Base,open_order_count,lower,50,-31.14,-79.34,17.34,31,19,0
high,ComboS1J1,PhaseC,WM-Base,pending_order_count,lower,50,-30.1,-77.08,17.38,30,17,3
high,ComboS1J1,PhaseC,WM-Base,congestion_events,lower,50,-59.94,-187.36,70.26,32,18,0
high,ComboS1J1,PhaseC,WM-Base,severe_events,lower,50,-63.56,-198.82,74.36,31,19,0
high,ComboS1J1,PhaseC,WM-Base,stall_ratio_mean,lower,50,-0.003754,-0.023068,0.014654,29,21,0
high,ComboS1J1,PhaseC,WM-Base,deadlock_ratio_mean,lower,50,-0.056788,-0.148432,0.036889,30,20,0
high,ComboS1J1,PhaseC,WM-Base,risk_rate_per_100,lower,50,-3.996002,-12.490668,4.683994,32,18,0
high,ComboS1J1,PhaseC,WM-Base,completion_fraction,higher,50,0.054295,-0.035076,0.14194,31,19,0
high,ComboS1J1,PhaseC,WM-Base,final_backlog_total,lower,50,-61.24,-156.7,34.62,32,18,0
high,ComboS1J1,PhaseC,WM-Base,final_backlog_fraction,lower,50,-0.106707,-0.280662,0.070097,32,18,0
