load,proposed,baseline,baseline_paper_name,metric,direction,paired_seeds,arm_minus_baseline_mean,ci95_low,ci95_high,wins,losses,ties
low,combo_s1_j1,greedy,Greedy,completed_orders,higher,10,1.2,-3.7,8.2,2,4,4
low,combo_s1_j1,greedy,Greedy,completed_tasks,higher,10,-10.0,-31.9,21.1,1,9,0
low,combo_s1_j1,greedy,Greedy,avg_task_duration,lower,10,-1.029811,-2.31494,-0.148314,8,2,0
low,combo_s1_j1,greedy,Greedy,avg_excess_delay,lower,10,-0.866252,-2.048649,-0.058162,8,2,0
low,combo_s1_j1,greedy,Greedy,open_order_count,lower,10,-1.2,-8.2,3.7,2,4,4
low,combo_s1_j1,greedy,Greedy,pending_order_count,lower,10,0.6,-1.9,3.1,3,5,2
low,combo_s1_j1,greedy,Greedy,stall_ratio_mean,lower,10,-0.004306,-0.016512,0.00406,7,3,0
low,combo_s1_j1,greedy,Greedy,stall_ratio_max,lower,10,-0.010416,-0.035417,0.016667,5,2,3
low,combo_s1_j1,greedy,Greedy,deadlock_ratio_mean,lower,10,-0.028364,-0.075358,0.001567,6,4,0
low,combo_s1_j1,greedy,Greedy,deadlock_ratio_max,lower,10,-0.114583,-0.266667,-0.002083,5,4,1
low,combo_s1_j1,greedy,Greedy,congestion_events,lower,10,-85.1,-230.7,28.8,7,3,0
low,combo_s1_j1,greedy,Greedy,severe_events,lower,10,-98.3,-234.4,5.2,6,3,1
low,combo_s1_j1,greedy,Greedy,risk_rate_per_100,lower,10,-5.67332,-15.37998,1.92,7,3,0
low,combo_s1_j1,greedy,Greedy,wall_time_s,lower,10,187.106,107.465,257.33,1,9,0
low,combo_s1_j1,phasec,WM-Base,completed_orders,higher,10,1.4,-1.8,4.7,6,3,1
low,combo_s1_j1,phasec,WM-Base,completed_tasks,higher,10,19.9,-4.6,44.8,7,3,0
low,combo_s1_j1,phasec,WM-Base,avg_task_duration,lower,10,-0.174545,-0.864479,0.517593,5,5,0
low,combo_s1_j1,phasec,WM-Base,avg_excess_delay,lower,10,-0.084732,-0.730064,0.573281,5,5,0
low,combo_s1_j1,phasec,WM-Base,open_order_count,lower,10,-1.4,-4.7,1.8,6,3,1
low,combo_s1_j1,phasec,WM-Base,pending_order_count,lower,10,-1.1,-3.3,0.8,3,3,4
low,combo_s1_j1,phasec,WM-Base,stall_ratio_mean,lower,10,-0.018735,-0.030715,-0.008039,9,1,0
low,combo_s1_j1,phasec,WM-Base,stall_ratio_max,lower,10,-0.045833,-0.06875,-0.020833,8,1,1
low,combo_s1_j1,phasec,WM-Base,deadlock_ratio_mean,lower,10,-0.019813,-0.031543,-0.008703,10,0,0
low,combo_s1_j1,phasec,WM-Base,deadlock_ratio_max,lower,10,-0.058333,-0.133333,-0.00625,8,2,0
low,combo_s1_j1,phasec,WM-Base,congestion_events,lower,10,-176.9,-351.4,-48.5,8,1,1
low,combo_s1_j1,phasec,WM-Base,severe_events,lower,10,-69.0,-123.4,-21.7,9,1,0
low,combo_s1_j1,phasec,WM-Base,risk_rate_per_100,lower,10,-11.79332,-23.42665,-3.23332,8,1,1
low,combo_s1_j1,phasec,WM-Base,assignment_time_ms_mean,lower,10,19.29401,13.35569,25.22443,0,10,0
low,combo_s1_j1,phasec,WM-Base,wall_time_s,lower,10,-160.895,-286.691,-48.41,8,2,0
mid,combo_s1_j1,greedy,Greedy,completed_orders,higher,10,-14.4,-117.9,71.0,5,5,0
mid,combo_s1_j1,greedy,Greedy,completed_tasks,higher,10,-70.5,-516.6,317.5,3,7,0
mid,combo_s1_j1,greedy,Greedy,avg_task_duration,lower,10,-0.83222,-1.642081,0.06444,7,3,0
mid,combo_s1_j1,greedy,Greedy,avg_excess_delay,lower,10,-0.821067,-1.579182,-0.017361,6,4,0
