load,arm,n,completed_orders_n,completed_orders_mean,completed_orders_std,completed_tasks_n,completed_tasks_mean,completed_tasks_std,avg_task_duration_n,avg_task_duration_mean,avg_task_duration_std,avg_excess_delay_n,avg_excess_delay_mean,avg_excess_delay_std,open_order_count_n,open_order_count_mean,open_order_count_std,pending_order_count_n,pending_order_count_mean,pending_order_count_std,congestion_events_n,congestion_events_mean,congestion_events_std,severe_events_n,severe_events_mean,severe_events_std,stall_ratio_mean_n,stall_ratio_mean_mean,stall_ratio_mean_std,deadlock_ratio_mean_n,deadlock_ratio_mean_mean,deadlock_ratio_mean_std,risk_rate_per_100_n,risk_rate_per_100_mean,risk_rate_per_100_std,completion_fraction_n,completion_fraction_mean,completion_fraction_std,final_backlog_total_n,final_backlog_total_mean,final_backlog_total_std,final_backlog_fraction_n,final_backlog_fraction_mean,final_backlog_fraction_std,completed_orders_per_congestion_event_n,completed_orders_per_congestion_event_mean,completed_orders_per_congestion_event_std,completed_orders_per_severe_event_n,completed_orders_per_severe_event_mean,completed_orders_per_severe_event_std,wall_time_s_n,wall_time_s_mean,wall_time_s_std,assignment_time_ms_mean_n,assignment_time_ms_mean_mean,assignment_time_ms_mean_std
low,ComboS1J1,50,50,380.56,128.982039,50,1685.88,534.779193,50,41.523987,4.380723,50,27.711478,4.340871,50,82.06,102.572786,50,59.76,95.405568,50,471.72,465.534275,50,431.26,474.101838,50,0.054191,0.058611,50,0.209337,0.282861,50,31.448004,31.035628,50,0.81678,0.231327,50,141.82,197.824032,50,0.317874,0.443793,50,3.404957,4.539147,50,6.030253,9.713022,50,684.7398,455.334639,50,177.93871,56.169123
low,Greedy,50,50,356.42,147.17039,50,1593.62,623.954033,50,43.961516,4.190265,50,30.12172,4.02558,50,106.2,75.136143,50,74.5,73.565277,50,751.94,398.509644,50,702.38,421.025172,50,0.080608,0.055424,50,0.345314,0.271326,50,50.129338,26.567315,50,0.737948,0.217842,50,180.7,148.668793,50,0.453191,0.421085,50,0.926388,0.97148,50,1.29089,1.611606,50,616.5888,498.806991,0,,
low,Hungarian,50,50,341.14,131.484449,50,1537.82,542.225624,50,40.85157,4.199491,50,27.207975,4.127702,50,121.48,130.159324,50,98.84,124.402791,50,583.68,490.628391,50,543.54,502.261096,50,0.060587,0.055868,50,0.277736,0.302394,50,38.912004,32.708548,50,0.744851,0.272841,50,220.32,254.411748,50,0.462014,0.533015,50,4.670949,15.318481,50,18.266882,73.485607,50,461.3578,488.595596,0,,
low,JSQ,50,50,350.84,129.709577,50,1562.0,539.92029,50,41.456368,3.905532,50,27.626834,3.831737,50,111.78,104.582463,50,84.9,97.525433,50,649.88,465.91723,50,609.78,485.173177,50,0.05688,0.043155,50,0.300424,0.288892,50,43.325338,31.061148,50,0.750652,0.239064,50,196.68,201.935083,50,0.440072,0.458933,50,1.766843,2.88244,50,2.683748,4.613579,50,457.1274,391.95812,0,,
low,PhaseC,50,50,345.14,136.131996,50,1532.24,583.916075,50,41.263737,4.059057,50,27.421738,3.909565,50,117.48,132.485054,50,92.12,126.120837,50,598.34,482.56343,50,557.06,494.552663,50,0.06266,0.053771,50,0.283893,0.307393,50,39.889338,32.170895,50,0.750489,0.272678,50,209.6,258.452394,50,0.444511,0.530295,50,4.124499,14.922586,50,10.361126,45.033097,50,684.292,345.899804,50,143.367424,78.014863
mid,ComboS1J1,50,50,361.56,129.460134,50,1617.46,553.90314,50,42.278896,4.085709,50,28.280029,4.006631,50,141.24,122.346158,50,112.7,116.508755,50,685.42,454.91371,50,635.48,469.918854,50,0.074456,0.061951,50,0.309318,0.28201,50,45.694666,30.327587,50,0.718964,0.246403,50,253.94,238.7703,50,0.505225,0.479876,50,1.8019,2.944278,50,3.352745,8.87691,50,824.841,501.53512,50,153.295888,56.986667
mid,Greedy,50,50,358.3,159.868853,50,1585.54,668.119307,50,45.841684,4.6799,50,31.78599,4.499144,50,144.5,99.907607,50,111.42,100.168676,50,813.36,390.413512,50,757.0,420.568948,50,0.090207,0.06049,50,0.369745,0.282416,50,54.224002,26.02756,50,0.684216,0.242228,50,255.92,200.059475,50,0.564853,0.476818,50,0.772381,0.755456,50,1.068684,1.284226,50,696.801,536.463573,0,,
mid,Hungarian,50,50,325.36,138.152924,50,1504.66,580.270406,50,43.172429,4.349125,50,29.501026,4.184071,50,177.44,135.744489,50,151.2,132.436098,50,773.42,463.671051,50,731.46,476.213238,50,0.087661,0.066263,50,0.366979,0.293531,50,51.561336,30.911401,50,0.648269,0.26747,50,328.64,268.046545,50,0.65124,0.527592,50,1.328638,2.039082,50,2.245304,4.349785,50,658.0478,543.177122,0,,
mid,JSQ,50,50,337.52,125.22256,50,1518.16,521.066535,50,42.358599,3.931266,50,28.379833,3.908749,50,165.28,124.609476,50,135.14,119.765773,50,800.46,423.103071,50,761.02,436.458909,50,0.080977,0.054854,50,0.368036,0.271444,50,53.364004,28.206871,50,0.672826,0.243389,50,300.42,244.281566,50,0.594209,0.476301,50,1.011696,1.416736,50,1.320215,1.999498,50,621.1758,449.324047,0,,
mid,PhaseC,50,50,356.9,133.667236,50,1573.04,577.9211,50,42.646524,4.24105,50,28.64819,4.150647,50,145.9,137.53156,50,116.98,130.62779,50,656.16,460.085616,50,610.74,476.030705,50,0.066945,0.052698,50,0.309858,0.293328,50,43.744,30.672377,50,0.715316,0.263643,50,262.88,268.040194,50,0.512257,0.513913,50,1.72946,2.366096,50,2.96245,4.707035,50,710.9684,352.316621,50,126.01102,77.782877
high,ComboS1J1,50,50,383.42,149.972676,50,1674.88,615.776993,50,44.75661,3.946462,50,30.59586,3.961061,50,168.86,144.6755,50,137.7,142.656546,50,733.26,424.153312,50,678.84,446.537047,50,0.07846,0.060264,50,0.319636,0.281475,50,48.883996,28.276891,50,0.692088,0.265426,50,306.56,287.293032,50,0.559299,0.526596,50,1.107331,1.160666,50,1.775841,2.526254,50,796.5562,484.418356,50,130.441982,32.508477
high,Greedy,50,50,318.36,157.689411,50,1429.38,659.707447,50,45.522207,5.945006,50,31.111485,5.839266,50,233.92,139.383333,50,201.4,139.762513,50,940.94,342.525643,50,891.06,372.335086,50,0.096396,0.054708,50,0.448158,0.273744,50,62.729334,22.835046,50,0.56778,0.266243,50,435.32,279.128604,50,0.805508,0.531142,50,0.517277,0.536546,50,0.640376,0.785029,50,737.3234,503.980514,0,,
high,Hungarian,50,50,290.44,146.957294,50,1444.7,627.152653,50,44.437568,4.566945,50,30.758343,4.418348,50,261.84,145.012463,50,236.82,146.15686,50,921.94,382.665567,50,876.48,403.73329,50,0.096829,0.057332,50,0.440387,0.275664,50,61.462666,25.511039,50,0.525059,0.265176,50,498.66,291.053095,50,0.904344,0.531819,50,0.75442,1.505156,50,1.041103,2.505275,50,740.5024,479.803089,0,,
high,JSQ,50,50,367.74,142.578233,50,1619.92,577.01684,50,44.138552,4.00887,50,29.996283,4.0281,50,184.54,139.228906,50,153.2,137.582993,50,791.2,411.030948,50,743.84,430.728469,50,0.079326,0.056003,50,0.351751,0.268011,50,52.746668,27.402061,50,0.664648,0.254288,50,337.74,276.772601,50,0.613911,0.505319,50,1.199159,2.133236,50,1.995454,5.162793,50,622.3906,480.348669,0,,
high,PhaseC,50,50,352.28,152.64849,50,1532.88,645.510515,50,43.871872,4.12153,50,29.737836,4.028377,50,200.0,151.894964,50,167.8,148.895937,50,793.2,440.523461,50,742.4,466.509893,50,0.082214,0.062654,50,0.376424,0.293475,50,52.879998,29.368231,50,0.637793,0.275897,50,367.8,300.751193,50,0.666006,0.546185,50,1.274909,2.331554,50,2.102127,4.705314,50,761.2666,384.537901,50,92.250528,52.871689
