load,arm,n,completed_orders_n,completed_orders_mean,completed_orders_std,completed_tasks_n,completed_tasks_mean,completed_tasks_std,avg_task_duration_n,avg_task_duration_mean,avg_task_duration_std,avg_excess_delay_n,avg_excess_delay_mean,avg_excess_delay_std,open_order_count_n,open_order_count_mean,open_order_count_std,pending_order_count_n,pending_order_count_mean,pending_order_count_std,stall_ratio_mean_n,stall_ratio_mean_mean,stall_ratio_mean_std,stall_ratio_max_n,stall_ratio_max_mean,stall_ratio_max_std,deadlock_ratio_mean_n,deadlock_ratio_mean_mean,deadlock_ratio_mean_std,deadlock_ratio_max_n,deadlock_ratio_max_mean,deadlock_ratio_max_std,congestion_events_n,congestion_events_mean,congestion_events_std,severe_events_n,severe_events_mean,severe_events_std,risk_rate_per_100_n,risk_rate_per_100_mean,risk_rate_per_100_std,assignment_time_ms_mean_n,assignment_time_ms_mean_mean,assignment_time_ms_mean_std,wall_time_s_n,wall_time_s_mean,wall_time_s_std
low,combo_s1_j1,10,10,642.1,56.592314,10,2741.9,208.879606,10,35.522326,0.950266,10,22.257398,0.935701,10,31.5,9.124144,10,2.9,2.736786,10,0.016725,0.005586,10,0.139583,0.033657,10,0.008524,0.005099,10,0.129167,0.041458,10,50.4,54.514585,10,25.0,36.207734,10,3.36001,3.634307,10,152.17687,14.092088,10,310.887,63.948757
low,greedy,10,10,640.9,61.920029,10,2751.9,230.746376,10,36.552136,1.329667,10,23.12365,1.249014,10,32.7,5.478138,10,2.3,1.951922,10,0.021031,0.015529,10,0.15,0.027639,10,0.036887,0.069367,10,0.24375,0.232747,10,135.5,211.04419,10,123.3,207.22261,10,9.03333,14.069605,0,,,10,123.781,142.771782
low,hungarian,10,10,518.1,168.648421,10,2334.5,693.147207,10,35.104231,2.764077,10,21.879197,2.602058,10,155.5,157.632643,10,127.1,155.433233,10,0.047143,0.048913,10,0.177083,0.039802,10,0.188909,0.244014,10,0.485416,0.388758,10,422.7,500.31671,10,401.8,499.879345,10,28.18001,33.354454,0,,,10,293.521,349.908837
low,phasec,10,10,640.7,57.963868,10,2722.0,215.869868,10,35.69687,0.888602,10,22.34213,0.821933,10,32.9,9.027181,10,4.0,3.768289,10,0.03546,0.019467,10,0.185417,0.036622,10,0.028336,0.019783,10,0.1875,0.098601,10,227.3,256.540465,10,94.0,95.878048,10,15.15333,17.102681,10,132.88286,13.058686,10,471.782,211.717729
mid,combo_s1_j1,10,10,594.1,197.862301,10,2514.6,749.975493,10,35.607823,2.046772,10,22.162287,2.004491,10,92.1,124.076952,10,61.0,123.435003,10,0.039233,0.035976,10,0.160417,0.033657,10,0.13673,0.243416,10,0.320833,0.310158,10,340.8,519.304496,10,296.4,533.725997,10,22.72001,34.620304,10,118.80996,31.743462,10,463.05,291.362321
mid,greedy,10,10,608.5,222.17977,10,2585.1,879.802302,10,36.440043,2.376772,10,22.983354,2.181121,10,77.7,80.919775,10,44.9,82.522058,10,0.056881,0.082543,10,0.166667,0.074536,10,0.149401,0.281942,10,0.308333,0.341285,10,321.1,533.114894,10,302.9,538.455281,10,21.40666,35.540988,0,,,10,255.225,408.534235
mid,hungarian,10,10,543.1,180.199584,10,2596.2,668.803678,10,36.329265,2.900674,10,23.130654,2.841192,10,143.1,172.995058,10,121.7,177.612528,10,0.035942,0.048137,10,0.189583,0.067475,10,0.088232,0.187023,10,0.39375,0.248336,10,244.6,304.500969,10,215.8,302.97089,10,16.30667,20.300057,0,,,10,213.218,322.683878
mid,phasec,10,10,609.8,169.067915,10,2563.3,631.475581,10,37.383322,4.290322,10,23.920626,4.340272,10,76.4,125.060146,10,46.7,124.493413,10,0.041674,0.042323,10,0.20625,0.148911,10,0.090725,0.187733,10,0.279167,0.277826,10,269.8,404.954269,10,245.2,397.044532,10,17.98666,26.996952,10,115.83788,43.288775,10,477.94,426.996871
high,combo_s1_j1,10,10,696.6,55.210868,10,2929.5,142.065654,10,36.722398,1.413217,10,23.224139,1.282016,10,34.3,9.413288,10,4.0,2.898275,10,0.029372,0.01617,10,0.160416,0.026435,10,0.022719,0.015962,10,0.164583,0.02543,10,125.9,138.341931,10,79.7,84.261557,10,8.39333,9.222783,10,104.80063,17.074934,10,358.163,181.807191
high,greedy,10,10,667.4,107.235442,10,2830.8,425.398119,10,37.853365,1.317865,10,24.126618,1.293853,10,63.5,47.415715,10,30.5,47.710062,10,0.025854,0.014377,10,0.147917,0.028641,10,0.089417,0.142866,10,0.370833,0.341412,10,248.6,325.358633,10,222.5,331.800618,10,16.57333,21.690572,0,,,10,128.888,130.950804
high,hungarian,10,10,504.9,138.603355,10,2795.9,356.445353,10,37.715169,2.340993,10,24.435402,2.312667,10,226.0,161.572894,10,204.4,165.865729,10,0.03766,0.035067,10,0.18125,0.059694,10,0.090364,0.132435,10,0.429167,0.356268,10,277.0,269.768049,10,239.5,261.06369,10,18.46667,17.984527,0,,,10,216.439,227.065587
high,phasec,10,10,620.0,147.881709,10,2610.8,596.575192,10,36.540572,2.185394,10,23.04079,2.088561,10,110.9,157.012388,10,81.4,153.775291,10,0.032265,0.030643,10,0.152083,0.034923,10,0.125103,0.22363,10,0.335417,0.328275,10,301.6,392.992672,10,258.0,401.716567,10,20.10665,26.199502,10,99.21838,36.624359,10,358.341,209.836029
