campaign,relative_path,schema_version,total_orders
main_50seed,main_50seed/greedy_high_seed900_orders.json,layer5_order_arrival_manifest_v1,561
main_50seed,main_50seed/greedy_high_seed901_orders.json,layer5_order_arrival_manifest_v1,561
main_50seed,main_50seed/greedy_high_seed902_orders.json,layer5_order_arrival_manifest_v1,526
main_50seed,main_50seed/greedy_high_seed903_orders.json,layer5_order_arrival_manifest_v1,606
main_50seed,main_50seed/greedy_high_seed904_orders.json,layer5_order_arrival_manifest_v1,526
main_50seed,main_50seed/greedy_high_seed905_orders.json,layer5_order_arrival_manifest_v1,541
main_50seed,main_50seed/greedy_high_seed906_orders.json,layer5_order_arrival_manifest_v1,566
main_50seed,main_50seed/greedy_high_seed907_orders.json,layer5_order_arrival_manifest_v1,564
main_50seed,main_50seed/greedy_high_seed908_orders.json,layer5_order_arrival_manifest_v1,573
main_50seed,main_50seed/greedy_high_seed909_orders.json,layer5_order_arrival_manifest_v1,540
main_50seed,main_50seed/greedy_high_seed910_orders.json,layer5_order_arrival_manifest_v1,532
main_50seed,main_50seed/greedy_high_seed911_orders.json,layer5_order_arrival_manifest_v1,522
main_50seed,main_50seed/greedy_high_seed912_orders.json,layer5_order_arrival_manifest_v1,526
main_50seed,main_50seed/greedy_high_seed913_orders.json,layer5_order_arrival_manifest_v1,589
main_50seed,main_50seed/greedy_high_seed914_orders.json,layer5_order_arrival_manifest_v1,557
main_50seed,main_50seed/greedy_high_seed915_orders.json,layer5_order_arrival_manifest_v1,549
main_50seed,main_50seed/greedy_high_seed916_orders.json,layer5_order_arrival_manifest_v1,540
main_50seed,main_50seed/greedy_high_seed917_orders.json,layer5_order_arrival_manifest_v1,583
main_50seed,main_50seed/greedy_high_seed918_orders.json,layer5_order_arrival_manifest_v1,531
main_50seed,main_50seed/greedy_high_seed919_orders.json,layer5_order_arrival_manifest_v1,551
main_50seed,main_50seed/greedy_high_seed920_orders.json,layer5_order_arrival_manifest_v1,525
main_50seed,main_50seed/greedy_high_seed921_orders.json,layer5_order_arrival_manifest_v1,537
main_50seed,main_50seed/greedy_high_seed922_orders.json,layer5_order_arrival_manifest_v1,529
main_50seed,main_50seed/greedy_high_seed923_orders.json,layer5_order_arrival_manifest_v1,577
main_50seed,main_50seed/greedy_high_seed924_orders.json,layer5_order_arrival_manifest_v1,524
main_50seed,main_50seed/greedy_high_seed925_orders.json,layer5_order_arrival_manifest_v1,543
main_50seed,main_50seed/greedy_high_seed926_orders.json,layer5_order_arrival_manifest_v1,554
main_50seed,main_50seed/greedy_high_seed927_orders.json,layer5_order_arrival_manifest_v1,571
main_50seed,main_50seed/greedy_high_seed928_orders.json,layer5_order_arrival_manifest_v1,561
main_50seed,main_50seed/greedy_high_seed929_orders.json,layer5_order_arrival_manifest_v1,569
main_50seed,main_50seed/greedy_high_seed930_orders.json,layer5_order_arrival_manifest_v1,536
main_50seed,main_50seed/greedy_high_seed931_orders.json,layer5_order_arrival_manifest_v1,586
main_50seed,main_50seed/greedy_high_seed932_orders.json,layer5_order_arrival_manifest_v1,560
main_50seed,main_50seed/greedy_high_seed933_orders.json,layer5_order_arrival_manifest_v1,557
main_50seed,main_50seed/greedy_high_seed934_orders.json,layer5_order_arrival_manifest_v1,522
main_50seed,main_50seed/greedy_high_seed935_orders.json,layer5_order_arrival_manifest_v1,610
main_50seed,main_50seed/greedy_high_seed936_orders.json,layer5_order_arrival_manifest_v1,554
main_50seed,main_50seed/greedy_high_seed937_orders.json,layer5_order_arrival_manifest_v1,569
main_50seed,main_50seed/greedy_high_seed938_orders.json,layer5_order_arrival_manifest_v1,564
main_50seed,main_50seed/greedy_high_seed939_orders.json,layer5_order_arrival_manifest_v1,534
main_50seed,main_50seed/greedy_high_seed940_orders.json,layer5_order_arrival_manifest_v1,595
main_50seed,main_50seed/greedy_high_seed941_orders.json,layer5_order_arrival_manifest_v1,538
main_50seed,main_50seed/greedy_high_seed942_orders.json,layer5_order_arrival_manifest_v1,530
main_50seed,main_50seed/greedy_high_seed943_orders.json,layer5_order_arrival_manifest_v1,570
main_50seed,main_50seed/greedy_high_seed944_orders.json,layer5_order_arrival_manifest_v1,513
main_50seed,main_50seed/greedy_high_seed945_orders.json,layer5_order_arrival_manifest_v1,547
main_50seed,main_50seed/greedy_high_seed946_orders.json,layer5_order_arrival_manifest_v1,544
main_50seed,main_50seed/greedy_high_seed947_orders.json,layer5_order_arrival_manifest_v1,550
main_50seed,main_50seed/greedy_high_seed948_orders.json,layer5_order_arrival_manifest_v1,537
main_50seed,main_50seed/greedy_high_seed949_orders.json,layer5_order_arrival_manifest_v1,564
main_50seed,main_50seed/greedy_low_seed900_orders.json,layer5_order_arrival_manifest_v1,478
main_50seed,main_50seed/greedy_low_seed901_orders.json,layer5_order_arrival_manifest_v1,544
main_50seed,main_50seed/greedy_low_seed902_orders.json,layer5_order_arrival_manifest_v1,380
main_50seed,main_50seed/greedy_low_seed903_orders.json,layer5_order_arrival_manifest_v1,525
main_50seed,main_50seed/greedy_low_seed904_orders.json,layer5_order_arrival_manifest_v1,578
main_50seed,main_50seed/greedy_low_seed905_orders.json,layer5_order_arrival_manifest_v1,407
main_50seed,main_50seed/greedy_low_seed906_orders.json,layer5_order_arrival_manifest_v1,514
main_50seed,main_50seed/greedy_low_seed907_orders.json,layer5_order_arrival_manifest_v1,569
main_50seed,main_50seed/greedy_low_seed908_orders.json,layer5_order_arrival_manifest_v1,434
main_50seed,main_50seed/greedy_low_seed909_orders.json,layer5_order_arrival_manifest_v1,449
main_50seed,main_50seed/greedy_low_seed910_orders.json,layer5_order_arrival_manifest_v1,550
main_50seed,main_50seed/greedy_low_seed911_orders.json,layer5_order_arrival_manifest_v1,438
main_50seed,main_50seed/greedy_low_seed912_orders.json,layer5_order_arrival_manifest_v1,461
main_50seed,main_50seed/greedy_low_seed913_orders.json,layer5_order_arrival_manifest_v1,398
main_50seed,main_50seed/greedy_low_seed914_orders.json,layer5_order_arrival_manifest_v1,371
main_50seed,main_50seed/greedy_low_seed915_orders.json,layer5_order_arrival_manifest_v1,591
main_50seed,main_50seed/greedy_low_seed916_orders.json,layer5_order_arrival_manifest_v1,401
main_50seed,main_50seed/greedy_low_seed917_orders.json,layer5_order_arrival_manifest_v1,442
main_50seed,main_50seed/greedy_low_seed918_orders.json,layer5_order_arrival_manifest_v1,396
main_50seed,main_50seed/greedy_low_seed919_orders.json,layer5_order_arrival_manifest_v1,515
main_50seed,main_50seed/greedy_low_seed920_orders.json,layer5_order_arrival_manifest_v1,562
main_50seed,main_50seed/greedy_low_seed921_orders.json,layer5_order_arrival_manifest_v1,548
main_50seed,main_50seed/greedy_low_seed922_orders.json,layer5_order_arrival_manifest_v1,444
main_50seed,main_50seed/greedy_low_seed923_orders.json,layer5_order_arrival_manifest_v1,331
main_50seed,main_50seed/greedy_low_seed924_orders.json,layer5_order_arrival_manifest_v1,438
main_50seed,main_50seed/greedy_low_seed925_orders.json,layer5_order_arrival_manifest_v1,346
main_50seed,main_50seed/greedy_low_seed926_orders.json,layer5_order_arrival_manifest_v1,399
main_50seed,main_50seed/greedy_low_seed927_orders.json,layer5_order_arrival_manifest_v1,368
main_50seed,main_50seed/greedy_low_seed928_orders.json,layer5_order_arrival_manifest_v1,446
main_50seed,main_50seed/greedy_low_seed929_orders.json,layer5_order_arrival_manifest_v1,471
main_50seed,main_50seed/greedy_low_seed930_orders.json,layer5_order_arrival_manifest_v1,360
main_50seed,main_50seed/greedy_low_seed931_orders.json,layer5_order_arrival_manifest_v1,531
main_50seed,main_50seed/greedy_low_seed932_orders.json,layer5_order_arrival_manifest_v1,453
main_50seed,main_50seed/greedy_low_seed933_orders.json,layer5_order_arrival_manifest_v1,509
main_50seed,main_50seed/greedy_low_seed934_orders.json,layer5_order_arrival_manifest_v1,545
main_50seed,main_50seed/greedy_low_seed935_orders.json,layer5_order_arrival_manifest_v1,564
main_50seed,main_50seed/greedy_low_seed936_orders.json,layer5_order_arrival_manifest_v1,368
main_50seed,main_50seed/greedy_low_seed937_orders.json,layer5_order_arrival_manifest_v1,489
