campaign,variant,load,seed,arm,ticks,wall_time_s,assignment_time_ms_mean
main_50seed,map20_r48_s4,high,900,Greedy,1500,562.6,
main_50seed,map20_r48_s4,high,900,Hungarian,1500,1226.88,
main_50seed,map20_r48_s4,high,900,JSQ,1500,110.58,
main_50seed,map20_r48_s4,high,900,PhaseC,1500,315.12,141.3771
main_50seed,map20_r48_s4,high,900,ComboS1J1,1500,1459.88,118.1172
main_50seed,map20_r48_s4,high,901,Greedy,1500,322.67,
main_50seed,map20_r48_s4,high,901,Hungarian,1500,109.13,
main_50seed,map20_r48_s4,high,901,JSQ,1500,724.51,
main_50seed,map20_r48_s4,high,901,PhaseC,1500,289.89,151.1258
main_50seed,map20_r48_s4,high,901,ComboS1J1,1500,274.59,135.8597
main_50seed,map20_r48_s4,high,902,Greedy,1500,909.86,
main_50seed,map20_r48_s4,high,902,Hungarian,1500,191.59,
main_50seed,map20_r48_s4,high,902,JSQ,1500,720.31,
main_50seed,map20_r48_s4,high,902,PhaseC,1500,685.6,54.9022
main_50seed,map20_r48_s4,high,902,ComboS1J1,1500,1055.55,124.1742
main_50seed,map20_r48_s4,high,903,Greedy,1500,115.61,
main_50seed,map20_r48_s4,high,903,Hungarian,1500,667.49,
main_50seed,map20_r48_s4,high,903,JSQ,1500,453.23,
main_50seed,map20_r48_s4,high,903,PhaseC,1500,268.03,121.3312
main_50seed,map20_r48_s4,high,903,ComboS1J1,1500,301.55,113.2206
main_50seed,map20_r48_s4,high,904,Greedy,1500,1226.38,
main_50seed,map20_r48_s4,high,904,Hungarian,1500,697.66,
main_50seed,map20_r48_s4,high,904,JSQ,1500,67.35,
main_50seed,map20_r48_s4,high,904,PhaseC,1500,564.14,214.1134
main_50seed,map20_r48_s4,high,904,ComboS1J1,1500,1214.07,109.5615
main_50seed,map20_r48_s4,high,905,Greedy,1500,705.51,
main_50seed,map20_r48_s4,high,905,Hungarian,1500,1428.38,
main_50seed,map20_r48_s4,high,905,JSQ,1500,1055.82,
main_50seed,map20_r48_s4,high,905,PhaseC,1500,1032.2,48.4426
main_50seed,map20_r48_s4,high,905,ComboS1J1,1500,392.62,147.8758
main_50seed,map20_r48_s4,high,906,Greedy,1500,561.2,
main_50seed,map20_r48_s4,high,906,Hungarian,1500,160.47,
main_50seed,map20_r48_s4,high,906,JSQ,1500,764.62,
main_50seed,map20_r48_s4,high,906,PhaseC,1500,556.94,94.0707
main_50seed,map20_r48_s4,high,906,ComboS1J1,1500,652.96,118.129
main_50seed,map20_r48_s4,high,907,Greedy,1500,943.92,
main_50seed,map20_r48_s4,high,907,Hungarian,1500,1124.47,
main_50seed,map20_r48_s4,high,907,JSQ,1500,436.75,
main_50seed,map20_r48_s4,high,907,PhaseC,1500,792.11,52.7449
main_50seed,map20_r48_s4,high,907,ComboS1J1,1500,714.79,114.5981
main_50seed,map20_r48_s4,high,908,Greedy,1500,124.66,
main_50seed,map20_r48_s4,high,908,Hungarian,1500,393.48,
main_50seed,map20_r48_s4,high,908,JSQ,1500,102.71,
main_50seed,map20_r48_s4,high,908,PhaseC,1500,410.26,85.7677
main_50seed,map20_r48_s4,high,908,ComboS1J1,1500,503.81,99.863
main_50seed,map20_r48_s4,high,909,Greedy,1500,543.13,
main_50seed,map20_r48_s4,high,909,Hungarian,1500,487.69,
main_50seed,map20_r48_s4,high,909,JSQ,1500,793.76,
main_50seed,map20_r48_s4,high,909,PhaseC,1500,1229.24,40.3118
main_50seed,map20_r48_s4,high,909,ComboS1J1,1500,303.39,110.2874
main_50seed,map20_r48_s4,high,910,Greedy,1500,682.54,
main_50seed,map20_r48_s4,high,910,Hungarian,1500,1705.23,
main_50seed,map20_r48_s4,high,910,JSQ,1500,1586.78,
main_50seed,map20_r48_s4,high,910,PhaseC,1500,1026.57,35.5602
main_50seed,map20_r48_s4,high,910,ComboS1J1,1500,970.53,106.3125
main_50seed,map20_r48_s4,high,911,Greedy,1500,1711.15,
main_50seed,map20_r48_s4,high,911,Hungarian,1500,1291.08,
main_50seed,map20_r48_s4,high,911,JSQ,1500,531.15,
main_50seed,map20_r48_s4,high,911,PhaseC,1500,629.72,127.3266
main_50seed,map20_r48_s4,high,911,ComboS1J1,1500,1109.25,128.5855
main_50seed,map20_r48_s4,high,912,Greedy,1500,202.52,
main_50seed,map20_r48_s4,high,912,Hungarian,1500,519.15,
main_50seed,map20_r48_s4,high,912,JSQ,1500,746.22,
main_50seed,map20_r48_s4,high,912,PhaseC,1500,804.05,64.5664
main_50seed,map20_r48_s4,high,912,ComboS1J1,1500,705.06,117.463
main_50seed,map20_r48_s4,high,913,Greedy,1500,136.06,
main_50seed,map20_r48_s4,high,913,Hungarian,1500,108.12,
main_50seed,map20_r48_s4,high,913,JSQ,1500,675.17,
main_50seed,map20_r48_s4,high,913,PhaseC,1500,275.1,109.3417
main_50seed,map20_r48_s4,high,913,ComboS1J1,1500,281.24,121.0468
main_50seed,map20_r48_s4,high,914,Greedy,1500,1138.75,
main_50seed,map20_r48_s4,high,914,Hungarian,1500,558.12,
main_50seed,map20_r48_s4,high,914,JSQ,1500,1032.02,
main_50seed,map20_r48_s4,high,914,PhaseC,1500,939.46,61.6174
main_50seed,map20_r48_s4,high,914,ComboS1J1,1500,2113.43,114.1316
main_50seed,map20_r48_s4,high,915,Greedy,1500,393.63,
main_50seed,map20_r48_s4,high,915,Hungarian,1500,88.39,
main_50seed,map20_r48_s4,high,915,JSQ,1500,64.3,
main_50seed,map20_r48_s4,high,915,PhaseC,1500,333.09,176.3952
main_50seed,map20_r48_s4,high,915,ComboS1J1,1500,335.17,176.8018
main_50seed,map20_r48_s4,high,916,Greedy,1500,1000.43,
main_50seed,map20_r48_s4,high,916,Hungarian,1500,861.04,
main_50seed,map20_r48_s4,high,916,JSQ,1500,73.65,
main_50seed,map20_r48_s4,high,916,PhaseC,1500,475.34,186.7473
main_50seed,map20_r48_s4,high,916,ComboS1J1,1500,369.03,198.8672
main_50seed,map20_r48_s4,high,917,Greedy,1500,163.34,
main_50seed,map20_r48_s4,high,917,Hungarian,1500,722.04,
main_50seed,map20_r48_s4,high,917,JSQ,1500,722.34,
main_50seed,map20_r48_s4,high,917,PhaseC,1500,969.51,76.9692
main_50seed,map20_r48_s4,high,917,ComboS1J1,1500,969.81,124.0954
main_50seed,map20_r48_s4,high,918,Greedy,1500,1197.67,
main_50seed,map20_r48_s4,high,918,Hungarian,1500,1169.11,
main_50seed,map20_r48_s4,high,918,JSQ,1500,862.72,
main_50seed,map20_r48_s4,high,918,PhaseC,1500,1100.6,66.2034
main_50seed,map20_r48_s4,high,918,ComboS1J1,1500,1472.8,100.7461
main_50seed,map20_r48_s4,high,919,Greedy,1500,957.06,
main_50seed,map20_r48_s4,high,919,Hungarian,1500,1122.69,
main_50seed,map20_r48_s4,high,919,JSQ,1500,376.42,
main_50seed,map20_r48_s4,high,919,PhaseC,1500,749.04,133.1689
main_50seed,map20_r48_s4,high,919,ComboS1J1,1500,454.04,151.419
main_50seed,map20_r48_s4,high,920,Greedy,1500,2054.93,
main_50seed,map20_r48_s4,high,920,Hungarian,1500,147.83,
main_50seed,map20_r48_s4,high,920,JSQ,1500,350.92,
main_50seed,map20_r48_s4,high,920,PhaseC,1500,385.44,178.6471
main_50seed,map20_r48_s4,high,920,ComboS1J1,1500,1388.91,114.5562
main_50seed,map20_r48_s4,high,921,Greedy,1500,606.97,
main_50seed,map20_r48_s4,high,921,Hungarian,1500,877.65,
main_50seed,map20_r48_s4,high,921,JSQ,1500,374.47,
main_50seed,map20_r48_s4,high,921,PhaseC,1500,451.11,72.9097
main_50seed,map20_r48_s4,high,921,ComboS1J1,1500,748.6,168.938
main_50seed,map20_r48_s4,high,922,Greedy,1500,1022.8,
main_50seed,map20_r48_s4,high,922,Hungarian,1500,475.85,
main_50seed,map20_r48_s4,high,922,JSQ,1500,509.33,
main_50seed,map20_r48_s4,high,922,PhaseC,1500,395.84,217.8817
main_50seed,map20_r48_s4,high,922,ComboS1J1,1500,402.49,222.4573
main_50seed,map20_r48_s4,high,923,Greedy,1500,220.48,
main_50seed,map20_r48_s4,high,923,Hungarian,1500,1211.14,
main_50seed,map20_r48_s4,high,923,JSQ,1500,1233.72,
main_50seed,map20_r48_s4,high,923,PhaseC,1500,971.79,42.4988
main_50seed,map20_r48_s4,high,923,ComboS1J1,1500,2233.92,102.9173
main_50seed,map20_r48_s4,high,924,Greedy,1500,1489.5,
main_50seed,map20_r48_s4,high,924,Hungarian,1500,974.47,
main_50seed,map20_r48_s4,high,924,JSQ,1500,905.26,
