campaign,variant,load,arm,wall_time_s_n,wall_time_s_mean,wall_time_s_std,assignment_time_ms_mean_n,assignment_time_ms_mean_mean,assignment_time_ms_mean_std
main_50seed,map20_r48_s4,high,ComboS1J1,50,796.5562,484.418356,50,130.441982,32.508477
main_50seed,map20_r48_s4,high,Greedy,50,737.3234,503.980514,0,,
main_50seed,map20_r48_s4,high,Hungarian,50,740.5024,479.803089,0,,
main_50seed,map20_r48_s4,high,JSQ,50,622.3906,480.348669,0,,
main_50seed,map20_r48_s4,high,PhaseC,50,761.2666,384.537901,50,92.250528,52.871689
main_50seed,map20_r48_s4,low,ComboS1J1,50,684.7398,455.334639,50,177.93871,56.169123
main_50seed,map20_r48_s4,low,Greedy,50,616.5888,498.806991,0,,
main_50seed,map20_r48_s4,low,Hungarian,50,461.3578,488.595596,0,,
main_50seed,map20_r48_s4,low,JSQ,50,457.1274,391.95812,0,,
main_50seed,map20_r48_s4,low,PhaseC,50,684.292,345.899804,50,143.367424,78.014863
main_50seed,map20_r48_s4,mid,ComboS1J1,50,824.841,501.53512,50,153.295888,56.986667
main_50seed,map20_r48_s4,mid,Greedy,50,696.801,536.463573,0,,
main_50seed,map20_r48_s4,mid,Hungarian,50,658.0478,543.177122,0,,
main_50seed,map20_r48_s4,mid,JSQ,50,621.1758,449.324047,0,,
main_50seed,map20_r48_s4,mid,PhaseC,50,710.9684,352.316621,50,126.01102,77.782877
station6_10seed,map20_r48_s6,high,combo_s1_j1,10,358.163,181.807191,10,104.80063,17.074934
station6_10seed,map20_r48_s6,high,greedy,10,128.888,130.950804,0,,
station6_10seed,map20_r48_s6,high,hungarian,10,216.439,227.065587,0,,
station6_10seed,map20_r48_s6,high,phasec,10,358.341,209.836029,10,99.21838,36.624359
station6_10seed,map20_r48_s6,low,combo_s1_j1,10,310.887,63.948757,10,152.17687,14.092088
station6_10seed,map20_r48_s6,low,greedy,10,123.781,142.771782,0,,
station6_10seed,map20_r48_s6,low,hungarian,10,293.521,349.908837,0,,
station6_10seed,map20_r48_s6,low,phasec,10,471.782,211.717729,10,132.88286,13.058686
station6_10seed,map20_r48_s6,mid,combo_s1_j1,10,463.05,291.362321,10,118.80996,31.743462
station6_10seed,map20_r48_s6,mid,greedy,10,255.225,408.534235,0,,
station6_10seed,map20_r48_s6,mid,hungarian,10,213.218,322.683878,0,,
station6_10seed,map20_r48_s6,mid,phasec,10,477.94,426.996871,10,115.83788,43.288775
